EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1543.35,1562.65,1543.35,1562.65,1863,0
1,1552.95,1563.3,1543.25,1543.25,6413,0
2,1553.5,1556.9,1551.4,1555.45,3256,0
3,1551.5,1555.95,1551.3,1554.55,2619,0
4,1549.3,1557,1547.5,1551.75,1344,0
5,1552.85,1553.25,1550,1550,351,0
6,1552,1553,1550,1552.85,1112,0
7,1552,1553.25,1551.95,1551.95,1359,0
8,1553.2,1554,1552.35,1552.85,1514,0
9,1551.95,1552.75,1548.9,1552.6,1710,0
10,1551.7,1552.25,1550.1,1552.25,397,0
11,1552.25,1553.85,1551.7,1551.7,694,0
12,1551.4,1554,1548.3,1553.65,2107,0
13,1551.05,1552.75,1551.05,1552.75,19,0
14,1553.95,1553.95,1551.55,1552.95,379,0
15,1550,1553,1549.7,1553,226,0
16,1549.15,1550.35,1547.6,1550,848,0
17,1550.35,1552.05,1549.05,1551.45,1723,0
18,1550,1550.85,1549.6,1549.95,916,0
19,1550.4,1552.45,1549,1549.6,1535,0
20,1549.65,1550.25,1549.35,1550,953,0
21,1550,1550.4,1549.75,1550.15,378,0
22,1549.75,1551.05,1548.6,1548.6,229,0
23,1551.2,1552,1549.75,1549.75,369,0
24,1551.6,1551.6,1549.9,1550.45,758,0
25,1554.05,1555.35,1550.05,1550.05,916,0
26,1551.7,1553.9,1551.7,1553.9,445,0
27,1552.9,1553.5,1551.2,1551.7,352,0
28,1552.55,1554,1551.6,1553.85,158,0
29,1552,1555,1552,1555,603,0
30,1553.5,1555,1552.05,1553.65,589,0
31,1556.15,1557,1553,1553.35,1024,0
32,1555.15,1558.2,1555.15,1556.6,646,0
33,1554.55,1557.3,1554.5,1557,825,0
34,1556.45,1556.45,1554.55,1554.55,11,0
35,1554.6,1555.25,1554.55,1554.55,65,0
36,1555.6,1556.5,1555.3,1556.5,194,0
37,1556,1556.4,1555.6,1555.6,98,0
38,1556,1556.4,1556,1556.4,138,0
39,1556.05,1557,1556,1556,277,0
40,1552,1555,1552,1554.65,1878,0
41,1553.65,1553.65,1553,1553.25,14,0
42,1551.15,1553.15,1551.15,1551.9,402,0
43,1553,1553,1551,1551,559,0
44,1553,1555,1553,1554.95,520,0
45,1553.9,1554.1,1553,1554.1,277,0
46,1554.3,1554.3,1553,1553.15,30,0
47,1554.9,1554.9,1553.25,1554,27,0
48,1555.1,1556.05,1554.3,1554.85,479,0
49,1555.2,1555.9,1555.1,1555.9,128,0
50,1554.35,1556.75,1554.35,1555.2,465,0
51,1555.45,1556.4,1553.25,1555.6,176,0
52,1559.25,1560.9,1556.05,1560.9,3008,0
53,1557.2,1559.15,1556.35,1558.5,234,0
54,1557,1558.3,1557,1557.2,270,0
55,1557,1557,1557,1557,502,0
56,1556.3,1556.3,1556.25,1556.25,40,0
57,1555.25,1557,1555.25,1556.3,85,0
58,1555,1557,1555,1555.25,195,0
59,1555,1555.9,1554.15,1555.9,587,0
60,1554.1,1555,1554.1,1555,52,0
61,1555.5,1555.5,1555,1555,161,0
62,1555,1556.85,1555,1556.15,190,0
63,1556.45,1556.7,1555.1,1556,505,0
64,1556.95,1556.95,1555.1,1555.6,138,0
65,1556.3,1557,1555.45,1557,101,0
66,1556,1556,1556,1556,133,0
67,1556.05,1556.3,1555.5,1556.3,123,0
68,1556.05,1556.15,1556,1556.15,74,0
69,1553.25,1556,1553.25,1556,86,0
70,1553.4,1553.4,1553.15,1553.25,96,0
71,1553.45,1554.7,1553.05,1554.7,132,0
72,1554.15,1554.15,1553.05,1553.05,186,0
73,1554.2,1557.35,1553.6,1554.35,2682,0
74,1554.25,1556.15,1554.25,1556.15,44,0
76,1553.5,1554,1553.5,1554,55,0
77,1551.85,1552.7,1551.85,1552.7,389,0
78,1552,1552,1551.45,1551.7,520,0
79,1552.25,1552.25,1552.05,1552.05,41,0
80,1552.25,1552.9,1552.25,1552.25,274,0
81,1552.25,1552.25,1552.25,1552.25,2,0
82,1552.55,1554.55,1552.25,1552.25,693,0
83,1553.95,1553.95,1553.95,1553.95,10,0
84,1553.15,1553.15,1553.15,1553.15,2,0
