EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,443.5,443.5,443.5,443.5,3,0
2,442.85,442.85,442.85,442.85,4,0
3,445.75,445.75,444,444,39,0
4,445.9,445.9,445.9,445.9,10,0
5,446.9,446.9,445.9,445.9,21,0
7,445.9,446,445.9,445.9,22,0
8,445.7,445.7,445.7,445.7,10,0
17,444.9,444.9,444.3,444.3,50,0
19,445,445,445,445,105,0
20,444.9,444.9,444.4,444.4,15,0
22,444.5,444.5,444.5,444.5,22,0
24,444.5,444.5,444.5,444.5,5,0
26,444.5,444.5,444.5,444.5,5,0
27,444.5,444.5,444.5,444.5,26,0
29,444.5,444.5,444.5,444.5,5,0
30,442.25,444,442.25,444,170,0
31,443.1,443.1,443,443,29,0
32,443.1,443.15,443.1,443.1,22,0
33,444.5,444.5,444.5,444.5,11,0
34,444.5,444.5,444.5,444.5,5,0
35,443.9,443.9,443.9,443.9,30,0
41,444.05,444.05,444.05,444.05,2,0
42,444,444,444,444,40,0
44,443.8,443.8,443.8,443.8,31,0
45,443.8,443.8,443.8,443.8,6,0
46,443.4,443.4,443.4,443.4,50,0
49,444.5,444.5,443.75,443.75,172,0
51,444.5,444.5,444.5,444.5,5,0
54,444.5,444.5,444.45,444.5,25,0
56,444.45,444.5,444.45,444.5,18,0
59,443,444,443,444,339,0
60,442.1,442.1,442.1,442.1,36,0
62,441,442.1,441,442.1,232,0
63,441,441,441,441,59,0
67,442.1,442.1,442.1,442.1,13,0
72,441.4,441.4,441.4,441.4,84,0
81,442.65,442.65,442.65,442.65,1,0
82,444.45,444.5,443.9,443.9,177,0
83,444.25,444.3,444.25,444.3,8,0
