EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530762300,580.45,580.45,580.45,580.45,1388,0
1,578.75,580.2,578.1,579.25,34254,0
2,577.2,578.95,576.6,578.75,27448,0
3,577.4,577.7,575.85,576.65,23713,0
4,577.4,577.9,577.05,577.7,14446,0
5,576.6,577.4,576.5,577.4,11226,0
6,576.9,577.4,576.5,576.6,13372,0
7,576.05,577,575.5,577,31258,0
8,576.4,577,575.65,576,12383,0
9,576.8,576.8,576,576.4,9982,0
10,576,576.8,576,576.8,8066,0
11,575.5,575.9,575.1,575.9,20873,0
12,574.8,575.3,574.35,575.1,21857,0
13,575,575.95,574.6,574.8,13755,0
14,575.25,575.35,574.55,575.25,8567,0
15,575.55,575.75,574.8,575.05,5680,0
16,574.75,575.75,574.5,575.7,9149,0
17,574.35,574.95,574.1,574.5,10918,0
18,574.45,574.55,573.5,574.25,17207,0
19,574.5,574.5,573.9,574.2,9834,0
20,574.75,574.9,574.15,574.5,10024,0
21,575.15,575.45,574.2,574.8,7989,0
22,576,576.1,575.25,575.45,14956,0
23,576.3,576.3,576,576.1,10847,0
24,576.85,577,576.3,576.3,13412,0
25,577.45,577.65,576.7,576.8,32674,0
26,577.55,577.75,577.3,577.5,14335,0
27,577.4,577.7,577.1,577.55,10732,0
28,577.1,577.4,576.9,577.4,7294,0
29,577.3,577.3,576.8,577.25,9749,0
30,576.95,577.3,576.8,577.3,6021,0
31,575.95,576.55,575.75,576.55,15553,0
32,575.7,576,575.4,575.9,12901,0
33,575.25,575.7,575.1,575.7,9567,0
34,575.2,575.25,574.8,575.1,8580,0
35,575.65,575.65,575,575.2,5704,0
36,575.75,575.95,575.6,575.8,4903,0
37,575.55,575.75,575.25,575.6,6288,0
38,575.3,576.2,575.2,575.9,7794,0
39,575.05,575.4,575,575.3,3968,0
40,575.7,575.9,575.1,575.1,4269,0
41,575.85,575.85,575.4,575.8,3277,0
42,575.65,575.85,575.1,575.6,6334,0
43,576.3,576.4,575.3,575.65,9738,0
44,575.95,576.25,575.6,576,11663,0
45,576,576,575.85,575.95,5622,0
46,575.9,576,575.65,576,5570,0
47,576,576.3,575.7,575.95,26415,0
48,576,576.45,575.55,576.05,28053,0
49,576.9,576.9,575.9,575.9,11344,0
50,577.4,577.7,576.95,576.95,17142,0
51,579.3,579.3,577.2,577.3,47806,0
52,580,580.15,579,579.25,50894,0
53,578.55,580.15,578.3,580,25961,0
54,578.95,579,578.2,578.3,14317,0
55,578.55,579.1,578.55,578.8,12442,0
56,578,578.65,577.4,578.65,16527,0
57,577.1,578,577.1,578,7696,0
58,577.75,578,576.5,577.45,17704,0
59,577.75,577.95,577.45,577.95,6420,0
60,577.7,577.7,577.15,577.65,4052,0
61,577.85,578,577.5,577.5,12765,0
62,578.2,578.45,578,578,5789,0
63,578.5,578.85,578.3,578.3,9108,0
64,578.3,578.55,578.2,578.5,3720,0
65,577.65,578.3,577.5,578.3,10883,0
66,577.7,578.1,577.5,577.65,5795,0
67,578.15,578.2,577.6,577.6,8300,0
68,577.8,578.15,577.6,578.1,5836,0
69,577.9,578,577.6,577.8,3051,0
70,577.8,578,577.5,577.9,4319,0
71,577.1,577.8,576.55,577.8,16347,0
72,577.9,578,576.75,577.1,13861,0
73,577.85,577.9,577.5,577.9,2986,0
74,578,578.05,577.55,577.85,8011,0
75,578.15,578.3,577.9,578.05,5011,0
76,578.7,578.7,578,578.15,5554,0
77,578.35,578.7,578.35,578.7,10779,0
78,578.55,578.8,578.3,578.7,7043,0
79,577.8,578.65,577.8,578.65,5474,0
80,577,577.8,577,577.8,11209,0
81,577.5,577.8,577.25,577.45,10472,0
82,578.2,578.25,577.4,577.6,9872,0
83,577.95,578.4,577.6,578.2,6302,0
84,577.6,578,577.4,577.95,7542,0
85,577.7,577.95,576.8,577.55,24188,0
86,577.55,577.75,577.55,577.7,3768,0
87,577,577.65,576.85,577.65,6888,0
88,577.75,578.05,576.9,577.15,16653,0
89,577.5,577.7,577.4,577.65,5044,0
90,577.1,577.5,576.75,577.5,5585,0
91,577.1,577.2,577,577.1,3911,0
92,577.45,577.5,576.55,577.1,8640,0
93,577,577.5,576.75,577.4,5410,0
94,576.5,577.1,576.5,577.1,5320,0
95,576.15,576.85,576.1,576.85,3510,0
96,576.2,576.4,575.65,576.15,14600,0
97,576.65,576.9,576.2,576.3,5937,0
98,576.1,576.5,576,576.45,2412,0
99,576.25,576.25,575.6,576.2,5183,0
100,575.8,576.3,575.6,576.3,5012,0
101,575.45,575.9,575.25,575.85,13230,0
102,574.5,575.5,574.2,575.5,30212,0
103,574.75,575.1,574.5,574.6,7536,0
104,575,575.1,574.7,574.95,6145,0
105,575,575,574.65,574.65,6450,0
106,573.6,575,572.85,575,33802,0
107,574.2,574.4,573.5,573.6,8798,0
108,574.6,574.75,574.15,574.25,8653,0
