EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1232.25,1232.25,1225.05,1225.05,6,0
1,1226,1226,1221.25,1221.25,13,0
2,1224.95,1232.2,1224.95,1229.3,273,0
3,1225.65,1229,1220.45,1224.95,100,0
5,1225.75,1225.75,1225.65,1225.65,11,0
6,1225.65,1228,1225.65,1225.75,187,0
7,1225.65,1225.65,1225.65,1225.65,27,0
8,1225.65,1225.7,1225.65,1225.7,42,0
9,1225.65,1226.25,1225.65,1225.65,19,0
10,1225.7,1227,1225.65,1227,18,0
11,1225.65,1225.7,1225.65,1225.7,11,0
13,1225.65,1225.65,1225.65,1225.65,14,0
14,1225.6,1225.65,1222.85,1225.65,157,0
16,1224.05,1224.05,1224.05,1224.05,11,0
17,1224.05,1224.05,1224.05,1224.05,5,0
20,1224.05,1224.05,1224.05,1224.05,4,0
21,1225.65,1225.65,1221.9,1224.05,67,0
22,1221.9,1222.4,1221.9,1222.2,29,0
23,1215.15,1220,1215.15,1220,414,0
24,1215.45,1219.9,1215.45,1219.9,9,0
27,1215.25,1215.25,1215.25,1215.25,8,0
30,1216.35,1216.35,1216.35,1216.35,1,0
31,1215.25,1215.5,1215.25,1215.5,11,0
33,1215.25,1215.25,1215.25,1215.25,6,0
34,1217.3,1217.3,1217.3,1217.3,6,0
35,1215.3,1215.3,1215.3,1215.3,1,0
36,1215,1215,1215,1215,117,0
38,1216.15,1217.9,1215.1,1216.75,116,0
39,1216.15,1216.15,1216.15,1216.15,13,0
40,1215.9,1215.9,1215.9,1215.9,4,0
41,1215.75,1215.75,1215.75,1215.75,4,0
42,1210.85,1215,1210.85,1215,157,0
44,1211.5,1211.55,1211.5,1211.55,10,0
45,1211.65,1214.35,1211.65,1214.35,34,0
46,1214.35,1214.35,1214.35,1214.35,1,0
48,1214.65,1214.65,1214.65,1214.65,6,0
49,1214.2,1216,1214.2,1214.65,82,0
50,1212.15,1212.15,1212.15,1212.15,6,0
51,1214.1,1216.75,1214.1,1216.75,40,0
54,1216.7,1216.7,1216.7,1216.7,4,0
56,1216.1,1219.15,1216,1219.15,51,0
57,1216.2,1216.2,1216.2,1216.2,4,0
58,1214.5,1219.1,1214.5,1219.1,82,0
59,1212.4,1214.6,1212.4,1214.6,24,0
60,1212.4,1212.4,1212.4,1212.4,5,0
61,1203.25,1212.4,1203.25,1212.4,413,0
62,1200,1207.9,1198.85,1203,380,0
63,1202.8,1205,1200.05,1201.55,67,0
64,1204.5,1205,1200.1,1200.8,173,0
65,1206.9,1206.9,1205.1,1205.15,29,0
66,1207.15,1207.2,1206.9,1207.1,15,0
67,1207,1207.25,1206.5,1207.25,277,0
68,1207.35,1207.65,1206.9,1207.05,85,0
69,1203.25,1207.4,1202.55,1207.25,424,0
70,1202.85,1206.55,1202.85,1206.55,11,0
71,1206.55,1206.55,1206.55,1206.55,2,0
75,1205,1205,1205,1205,2,0
76,1202.85,1202.85,1202.5,1202.5,10,0
77,1202.8,1202.8,1202.8,1202.8,4,0
78,1202.65,1204,1202.65,1204,7,0
79,1202.7,1204.8,1202.65,1202.65,20,0
80,1202.7,1202.7,1202.7,1202.7,7,0
81,1202.5,1202.7,1202.5,1202.65,39,0
82,1202.5,1202.5,1202.5,1202.5,13,0
83,1202.5,1202.7,1202.5,1202.7,11,0
