EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,227.25,228.75,224,224.35,5087,0
1,227.45,227.8,226.55,226.55,2408,0
2,226.6,227.9,226.15,226.55,2282,0
3,227,227.5,226.75,226.75,1041,0
4,226.9,227,226.65,226.8,467,0
5,227,227.2,226.8,226.95,483,0
6,226.25,227,226.25,227,1833,0
7,226.25,226.25,226.1,226.2,419,0
8,225.05,226.5,225.05,226.5,1876,0
9,225,225.15,225,225.15,382,0
10,224.85,225.05,224.7,224.85,448,0
11,223.3,224.85,223.3,224.7,3645,0
12,224.3,224.4,223.15,223.15,507,0
13,224.6,224.6,224.3,224.35,283,0
14,224.05,224.05,223.9,224,1012,0
15,224.25,224.25,224.25,224.25,100,0
16,223.1,224,223.1,224,691,0
17,223.65,223.65,223.1,223.1,565,0
18,223.5,223.7,223.5,223.65,892,0
19,223.7,223.75,223.5,223.5,666,0
20,223.9,223.9,223.75,223.85,506,0
21,224.3,224.3,223.95,223.95,374,0
22,224.85,224.85,224.75,224.75,474,0
23,225.2,225.4,224.75,224.8,1330,0
24,225,225.4,224.75,225.4,1642,0
25,225.3,225.35,225,225,263,0
26,225.1,225.4,225.1,225.3,474,0
27,224.85,224.9,224.8,224.9,302,0
28,224.9,225,224.9,225,2085,0
29,224.85,225,224.85,224.95,2368,0
30,224.75,224.85,224.75,224.85,482,0
31,224.75,224.8,224.75,224.75,1309,0
32,225,225,224.65,224.75,2445,0
33,224.8,225,224.8,225,152,0
34,224.55,224.95,224.55,224.95,240,0
35,224.4,224.85,224.4,224.85,561,0
36,224,224.1,224,224.1,653,0
37,224,224,223.4,223.9,1152,0
38,223.65,224,223.65,224,626,0
39,223.6,223.75,223.6,223.75,145,0
40,223.65,223.65,223.65,223.65,111,0
41,223.75,223.75,223.75,223.75,50,0
42,223.8,223.8,223.8,223.8,36,0
43,222.55,223.9,222.55,223.9,2344,0
44,222.9,222.9,222.6,222.85,161,0
45,222.55,223,222.55,223,6247,0
46,222.75,222.75,222.5,222.5,266,0
47,222.75,222.75,222.6,222.75,150,0
48,222.65,222.75,222.65,222.75,470,0
49,222.75,222.75,222.5,222.5,1053,0
50,222.75,222.75,222.65,222.75,213,0
51,222.25,222.75,222.25,222.75,423,0
52,222.1,222.35,222.1,222.25,336,0
53,222.1,222.25,222.1,222.1,600,0
54,221.2,222.1,221.2,222.1,1277,0
55,221.3,221.6,221.2,221.2,565,0
56,221.75,221.75,221.4,221.55,123,0
57,220.8,221.75,220.8,221.45,3366,0
58,220.85,221.75,220.8,221,4472,0
59,221.6,222.35,220.95,220.95,7218,0
60,222.1,222.1,221.3,221.3,2051,0
61,222.5,222.9,221.9,222.1,1009,0
62,223,223,222.95,222.95,26,0
63,222.4,222.4,222.4,222.4,243,0
64,222.15,222.4,222.15,222.4,100,0
66,222,222,221.8,222,109,0
67,221.95,222.2,221.95,222.05,185,0
69,222,222,222,222,75,0
70,221.85,221.85,221.85,221.85,120,0
72,222,222,221.9,221.9,443,0
73,222,222,222,222,404,0
74,221.85,221.9,221.85,221.9,70,0
75,222,222,221.95,221.95,105,0
77,221.9,221.9,221.9,221.9,100,0
78,221.85,221.85,221.85,221.85,20,0
80,222.2,222.2,221.8,221.8,243,0
81,222.4,222.4,222.2,222.2,438,0
82,222.65,222.65,222.25,222.25,182,0
83,222.75,222.75,222.5,222.5,2168,0
84,223.45,223.45,223.35,223.35,193,0
