EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317740,160.8,160.8,160,160,613,0
9,160.25,160.35,160.25,160.35,1998,0
10,160.4,160.4,160.4,160.4,999,0
19,160.1,160.1,160.1,160.1,100,0
24,160.9,160.9,160.7,160.7,6,0
25,161.7,161.75,160.95,160.95,288,0
27,160.9,161.05,160.9,161.05,54,0
28,160.3,160.75,160.3,160.7,110,0
33,160.35,160.35,160.35,160.35,32,0
34,160.6,160.6,160.35,160.35,2613,0
35,160.45,160.65,160.15,160.6,1648,0
36,160.15,160.5,160.1,160.1,152,0
37,161.1,161.3,160.15,160.25,3071,0
38,161.25,161.35,160.9,161.1,1438,0
39,160.35,161.3,160.3,161.3,6212,0
40,160.25,160.5,160.25,160.35,48,0
41,160.6,160.6,160.4,160.4,80,0
42,160.25,160.4,160.25,160.25,45,0
43,160.25,160.3,160.25,160.25,230,0
44,160.15,160.25,160.15,160.25,32,0
45,160.15,160.15,160.15,160.15,80,0
46,160.1,160.15,160.1,160.15,284,0
47,160.15,160.15,160.1,160.1,532,0
48,160.05,160.15,160.05,160.15,90,0
49,160.05,160.5,160.05,160.1,55,0
50,160.05,160.05,160.05,160.05,64,0
51,160.05,160.05,160.05,160.05,48,0
52,160,160.05,160,160.05,77,0
56,160.45,160.5,160.1,160.3,95,0
59,160.5,160.5,160.5,160.5,10,0
62,160.5,160.5,160.5,160.5,1,0
64,160.7,160.7,160.45,160.5,9,0
68,160.4,160.4,160.4,160.4,1,0
71,160.35,160.35,160.1,160.3,47,0
72,160.45,160.55,160.15,160.5,561,0
73,160.65,160.65,160.2,160.4,7941,0
74,161.25,161.25,160.6,160.65,2949,0
75,161.15,161.25,160.85,161.2,7892,0
76,161,161.2,161,161.15,59,0
77,161.25,161.5,160.85,160.9,2839,0
78,161.05,161.25,161.05,161.25,22,0
79,161.25,161.4,161.15,161.15,69,0
80,161.15,161.25,160.7,161.15,893,0
81,161,161.1,160.95,161,9,0
