EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,599.6,599.6,599.6,599.6,3,0
1,599.85,599.95,599,599,25,0
2,599,599,599,599,100,0
3,599,599,599,599,4,0
5,599.5,599.5,598.25,598.25,57,0
6,601.2,601.2,599.5,599.5,91,0
7,601.85,601.85,601.7,601.7,84,0
8,601.85,601.85,601.85,601.85,8,0
12,601.25,601.25,601.25,601.25,118,0
13,601.85,601.85,601.85,601.85,29,0
14,601.85,601.85,601.85,601.85,22,0
15,601.4,601.4,601.4,601.4,2,0
17,601.85,601.85,601.25,601.25,96,0
18,601.85,601.85,601.85,601.85,100,0
19,601.85,601.85,601.3,601.3,13,0
20,601.4,601.4,601.4,601.4,1,0
21,602.8,602.8,601.3,601.3,139,0
22,602.7,602.7,602.15,602.15,14,0
24,602.55,602.55,602.55,602.55,7,0
27,602.7,602.9,602.05,602.9,30,0
28,602.55,602.7,601.35,602.7,43,0
29,602.55,602.55,602.55,602.55,7,0
30,601.85,601.85,601.85,601.85,8,0
34,601.95,601.95,601.95,601.95,2,0
36,602.4,602.4,601.35,601.35,13,0
37,602.4,602.4,602.4,602.4,20,0
39,602.4,602.4,602.4,602.4,7,0
40,605.9,605.9,602.4,602.4,1249,0
41,604.9,605.95,604.9,605.9,165,0
42,605.95,606.95,605.95,606.95,263,0
43,605.75,605.9,605,605,77,0
44,605.75,605.75,605,605.25,268,0
45,605,605.75,605,605,67,0
48,605,605.35,605,605.35,145,0
49,605,605,604.65,605,56,0
50,605,605,605,605,7,0
51,605,605,605,605,6,0
52,605,605,605,605,2,0
53,605,605,605,605,12,0
54,604.05,605,604.05,605,53,0
56,605.5,605.5,605,605,150,0
57,605,605.5,605,605.5,57,0
58,605,605,605,605,8,0
59,604.05,604.05,604.05,604.05,4,0
60,604.95,604.95,604.95,604.95,8,0
61,604.95,604.95,604.3,604.3,8,0
62,604.9,604.9,604.15,604.15,37,0
63,604.9,604.9,604.9,604.9,3,0
65,604.9,604.9,604.9,604.9,20,0
68,604.8,604.95,604.15,604.15,225,0
69,604.8,604.8,604.8,604.8,7,0
71,604.95,604.95,604.8,604.8,7,0
72,604.95,604.95,604.95,604.95,7,0
73,604.8,604.95,604.8,604.95,5,0
74,604.8,604.8,604.15,604.8,40,0
77,604.8,604.8,604.15,604.15,33,0
78,604.8,604.8,604.8,604.8,6,0
79,604.8,604.8,604.8,604.8,1,0
80,604.8,604.8,604.8,604.8,8,0
81,604.15,604.15,604.15,604.15,10,0
82,603.8,604.45,603.3,603.3,70,0
83,604.65,604.75,604.65,604.75,38,0
84,604.7,604.75,604.05,604.05,8,0
