EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,207.5,210,207.15,210,7568,0
1,207,207.95,207,207.95,4812,0
2,207.7,207.85,207,207,3699,0
3,202.85,207.95,202.85,207.95,7800,0
4,203.4,205.5,202.6,202.9,15059,0
5,203,203.7,202.7,203.7,12838,0
6,204.35,204.35,203.05,203.05,2336,0
7,204.4,204.45,203.65,204.35,4787,0
8,205,205.4,204.5,204.5,5083,0
9,204.85,205.8,204.45,205,5495,0
10,204.55,205.8,204.4,204.7,3164,0
11,205.25,205.75,204.45,204.8,8084,0
12,205.05,205.55,205,205.2,9678,0
13,204.4,205.25,204.4,205.25,8137,0
14,205,205.1,204.4,204.4,10917,0
15,205.05,205.05,204.8,205,4520,0
16,198.85,205.1,198.65,205,37759,0
17,199,200,199,199.1,12544,0
18,185,199,185,199,33417,0
19,177.7,187.55,177.05,186.5,78029,0
20,179.95,180,174,177.7,71981,0
21,177.25,179.95,176.6,179.35,34948,0
22,175.6,177.7,173.55,177.25,42003,0
23,176.4,178.8,174.95,175.7,23283,0
24,174.45,176.95,173.85,176.95,18260,0
25,171.9,174.9,171.9,174.6,76402,0
26,171.9,173.05,171.9,173.05,54444,0
27,171.9,171.9,171.9,171.9,3204,0
28,171.9,171.9,171.9,171.9,928,0
29,171.9,171.9,171.9,171.9,407,0
30,171.9,171.9,171.9,171.9,670,0
31,171.9,171.9,171.9,171.9,341,0
32,171.9,171.9,171.9,171.9,183,0
33,171.9,171.9,171.9,171.9,46,0
34,171.9,171.9,171.9,171.9,5861,0
35,171.9,171.9,171.9,171.9,789,0
36,171.9,171.9,171.9,171.9,80,0
37,171.9,171.9,171.9,171.9,210,0
38,171.9,171.9,171.9,171.9,615,0
39,171.9,171.9,171.9,171.9,251,0
40,171.9,171.9,171.9,171.9,134,0
41,171.9,171.9,171.9,171.9,570,0
42,171.9,171.9,171.9,171.9,504,0
43,171.9,171.9,171.9,171.9,1002,0
44,171.9,171.9,171.9,171.9,175,0
45,171.9,171.9,171.9,171.9,621,0
46,171.9,171.9,171.9,171.9,224,0
47,171.9,171.9,171.9,171.9,413,0
48,171.9,171.9,171.9,171.9,45247,0
49,171.9,171.9,171.9,171.9,420,0
50,171.9,171.9,171.9,171.9,1245,0
51,171.9,174.65,171.9,171.9,140454,0
52,171.9,171.9,171.9,171.9,69184,0
53,175,175,171.9,171.9,117431,0
54,173.9,175.35,172.65,174.95,43055,0
55,176.5,176.75,174,174,32229,0
56,178,179.9,176,176.65,25488,0
57,176.95,178.8,176.35,178,17639,0
58,175.4,177,175.4,176.55,13099,0
59,175.3,175.95,174.6,175.8,22209,0
60,176.4,176.4,175,175.05,8859,0
61,178,178,176.2,176.4,18466,0
62,183.05,183.05,178,178.05,35418,0
63,184.05,184.7,182.25,183.3,27689,0
64,182.2,184.35,181.6,184,9833,0
65,182.5,183,181.95,182.2,6297,0
66,182.55,185,182.55,183,14570,0
67,182,182.95,180.05,182.4,23465,0
68,181.25,184.35,181.25,182,7721,0
69,183.45,183.45,181.4,182,5432,0
70,183.45,184.3,182.6,183.7,7966,0
71,184.15,185,182.95,183.55,36215,0
72,184.75,186.8,183.3,184.35,29219,0
73,185.1,185.25,184.6,184.8,10666,0
74,182.7,185.15,182.05,185,8272,0
75,184.7,185.25,182.4,182.7,11455,0
76,183.15,185.4,183.15,185.05,16912,0
77,184.15,184.45,183.5,183.5,7507,0
78,184.3,184.75,183.5,184.2,6026,0
79,184,184,183.5,184,3595,0
80,182.6,183.55,182.55,183.55,3370,0
81,182.3,182.85,182.2,182.75,2501,0
82,182,182.5,181.55,182.35,12203,0
83,183.25,183.3,182,182,1946,0
84,183.5,183.75,183,183.3,4359,0
