EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,267.1,267.7,266.3,267.7,116681,0
1,268.35,268.45,267.2,267.2,88007,0
2,268.25,269.35,268.25,268.45,182091,0
3,269.7,269.7,268.2,268.65,73782,0
4,268.75,270,268.65,269.6,69488,0
5,268.95,269.65,268.75,268.75,50049,0
6,268.95,269.1,268.1,268.85,48808,0
7,269,269.1,268.65,268.9,28790,0
8,269.4,269.45,269,269.1,44904,0
9,270.1,270.15,269.3,269.3,45532,0
10,270.2,270.5,269.85,270.15,67293,0
11,270,270.3,269.7,270.2,61921,0
12,269.7,270,269.55,269.95,37053,0
13,269.4,269.9,269.15,269.65,34227,0
14,269.05,269.55,268.85,269.4,34820,0
15,268.6,269.1,268.6,269.05,22415,0
16,269.3,269.3,268.6,268.65,30288,0
17,269.4,269.5,269.15,269.15,13837,0
18,269.7,269.75,269.35,269.4,13945,0
19,269.6,269.7,269.45,269.65,22978,0
20,270.1,270.1,269.65,269.65,29664,0
21,269.8,270.4,269.65,270.05,45887,0
22,270.25,270.45,270.05,270.05,38784,0
23,270.55,270.85,270.1,270.1,42336,0
24,270.6,270.85,270.35,270.5,29986,0
25,270.5,270.65,270.05,270.65,55822,0
26,270.1,270.7,270,270.55,29923,0
27,270.2,270.3,270,270.15,18514,0
28,269.7,270.2,269.5,270.2,51527,0
29,269.6,269.8,269.35,269.7,29038,0
30,269.4,269.8,269.1,269.6,19425,0
31,269.25,269.35,269,269.25,30841,0
32,269.4,269.4,269.05,269.2,11938,0
33,269.5,269.5,269.3,269.3,15156,0
34,269.55,269.7,269.35,269.35,9303,0
35,269.8,269.9,269.55,269.55,14954,0
36,269.7,270,269.7,269.9,19688,0
37,270.35,270.45,269.7,269.7,45982,0
38,270.65,270.7,270.25,270.25,27602,0
39,270.8,270.85,270.6,270.6,41662,0
40,270.55,270.85,270.5,270.75,27588,0
41,270.55,270.75,270.5,270.6,17662,0
42,270.3,270.6,270.2,270.6,29071,0
43,270.35,270.5,270.25,270.4,15825,0
44,270.4,270.55,270.3,270.3,75522,0
45,270.35,270.4,270.3,270.35,8695,0
46,271,271,270.3,270.3,118431,0
47,271.05,271.25,270.85,270.85,52031,0
48,271.05,271.2,271,271,28167,0
49,270.85,271.15,270.85,271.05,49036,0
50,271,271.2,270.85,270.9,34779,0
51,270.95,271.2,270.8,271.05,65046,0
52,270.75,270.9,270.6,270.9,16167,0
53,270.75,270.9,270.6,270.8,13070,0
54,271.1,271.2,270.7,270.75,42138,0
55,271.5,271.65,271.15,271.15,55782,0
56,271.1,271.55,271.05,271.5,29975,0
57,271.35,271.5,271.1,271.1,43509,0
58,271.15,271.6,271.1,271.3,45986,0
59,271.2,271.35,271.1,271.2,32359,0
60,271.05,271.2,271,271.2,37641,0
61,270.55,271.15,270.5,271.05,68965,0
62,270.4,270.55,270.2,270.5,36329,0
63,270.8,270.8,270.25,270.4,26813,0
64,270.5,270.8,270.4,270.75,26224,0
65,270.3,270.65,270.3,270.55,17827,0
66,270.45,270.5,270.3,270.45,10780,0
67,270.15,270.45,270.1,270.35,15753,0
68,270.15,270.25,270,270.15,15830,0
69,270.1,270.2,270,270.1,13521,0
70,269.75,270.1,269.5,270,58333,0
71,269.55,269.9,269.55,269.7,13078,0
72,268.9,269.65,268.85,269.65,57750,0
73,268.75,268.95,268.65,268.8,23629,0
74,268.4,268.85,268.15,268.8,63048,0
75,268.4,268.75,268.35,268.4,27564,0
76,268.5,268.5,268.15,268.4,23377,0
77,269.5,269.55,268.35,268.5,41601,0
78,269.75,269.75,269.45,269.45,52211,0
79,269.85,269.85,269.65,269.75,21387,0
80,269.55,269.85,269.55,269.85,21028,0
81,269.35,269.6,269.2,269.6,25111,0
82,269.45,269.5,269.3,269.4,11988,0
83,269.35,269.8,269.35,269.45,22052,0
84,269.2,269.4,269.2,269.35,11549,0
85,269.35,269.4,269.2,269.2,12305,0
86,269.45,269.45,269.2,269.3,13681,0
87,269.65,269.7,269.4,269.4,7930,0
88,269.55,269.7,269.55,269.55,4492,0
89,269.7,269.85,269.55,269.55,8737,0
90,269.85,269.85,269.65,269.75,11826,0
91,270.1,270.2,269.75,269.8,27890,0
92,269.95,270.35,269.8,270.1,38876,0
