EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,140.9,141.2,140.85,141,10255,0
1,141.05,141.15,140.85,140.9,12072,0
2,141.3,141.3,140.9,141.05,10293,0
3,141.3,141.4,141.2,141.3,3876,0
4,140.95,141.4,140.85,141.4,7623,0
5,141,141.05,140.9,141.05,3507,0
6,140.9,141,140.9,141,4378,0
7,140.85,141,140.85,141,2059,0
8,141.15,141.35,140.9,140.9,10983,0
9,141.15,141.2,141.1,141.15,1125,0
10,140.95,141.15,140.95,141.1,3649,0
11,140.95,141.05,140.95,141.05,3041,0
12,140.9,141,140.85,140.95,12854,0
13,140.85,141,140.85,140.9,51426,0
14,140.4,140.85,140.4,140.85,47301,0
15,140.4,140.45,140.35,140.45,2678,0
16,140.35,140.4,140.25,140.4,3833,0
17,140.25,140.4,140.25,140.3,1579,0
18,140.5,140.6,140.25,140.3,7876,0
19,140.35,140.5,140.3,140.5,5193,0
20,140.45,140.45,140.2,140.35,2050,0
21,140.4,140.4,140.25,140.35,2598,0
22,140.25,140.4,140.25,140.4,3354,0
23,140.2,140.3,140.2,140.2,1222,0
24,140,140.1,140,140.1,5458,0
25,140.2,140.25,140.05,140.05,1673,0
26,140,140.15,139.8,140.1,31184,0
27,140.05,140.1,140,140,1028,0
28,140.5,140.5,140.25,140.25,6087,0
29,140.45,140.5,140.4,140.5,2403,0
30,140.45,140.5,140.4,140.5,819,0
31,140.5,140.6,140.4,140.5,8366,0
32,140.35,140.5,140.35,140.5,11323,0
33,140.3,140.35,140.2,140.25,2805,0
34,140.5,140.55,140.35,140.35,9640,0
35,140.45,140.45,140.35,140.45,1208,0
36,140.3,140.4,140.25,140.3,873,0
37,140.3,140.3,140.3,140.3,1297,0
38,140.3,140.3,140.3,140.3,3,0
39,139.8,140.35,139.8,140.35,18226,0
40,139.5,139.9,139.5,139.8,12096,0
41,139.85,139.85,139.5,139.55,4427,0
42,139.9,139.9,139.75,139.75,1448,0
43,140,140,139.9,139.95,650,0
44,140,140,139.85,140,2581,0
45,139.85,140,139.85,139.95,5231,0
46,139.8,139.85,139.7,139.85,1285,0
47,139.85,139.85,139.8,139.8,2937,0
48,139.9,140.1,139.8,139.85,39305,0
49,140,140.2,140,140,74545,0
50,140,140.1,140,140,81147,0
51,140,140.15,140,140,74722,0
52,140,140,140,140,75776,0
53,140,140.15,139.95,140,72796,0
54,140,140.05,139.9,140,54959,0
55,140,140.05,139.9,140,9355,0
56,139.9,140,139.75,140,7089,0
57,140,140,139.9,139.95,8179,0
58,139.9,140.05,139.9,140,13078,0
59,139.95,140,139.85,140,7561,0
60,139.6,139.95,139.5,139.95,23386,0
61,140,140,139.55,139.7,7644,0
62,140,140,139.9,140,10750,0
63,139.95,140,139.85,140,6634,0
64,140,140,139.95,140,10185,0
65,139.85,140,139.85,140,7777,0
66,140,140,139.85,139.85,6551,0
67,140,140,139.8,140,8663,0
68,140,140,139.9,140,15905,0
69,140,140,139.95,140,6212,0
70,139.95,140,139.9,139.9,11070,0
71,140,140,139.95,139.95,3405,0
72,140,140,139.95,139.95,10194,0
73,140,140.1,139.95,139.95,8305,0
74,140,140,139.9,140,8192,0
75,140,140.05,139.9,140,9345,0
76,140,140,139.95,140,8049,0
77,140.5,140.5,140,140,3457,0
78,140.45,140.6,140.4,140.5,5558,0
79,140.65,140.65,140.45,140.5,7590,0
80,140.7,140.7,140.5,140.65,22178,0
81,140.6,140.65,140.5,140.65,13703,0
82,140.6,140.65,140.55,140.55,579,0
83,140.65,140.65,140.5,140.65,816,0
84,140.5,140.65,140.5,140.65,654,0
