EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,874,877.5,873.05,873.05,1868,0
1,872,875.05,872,875.05,1394,0
2,872,872.35,871.6,872,770,0
3,874.6,874.85,873,873,585,0
4,873.65,874.9,873.55,874.35,870,0
5,873.65,874.9,872.15,874.9,865,0
6,873,873.65,872,873.65,359,0
7,870.5,872.15,870.25,872.15,2152,0
8,871.3,874,870.5,870.5,783,0
9,871.95,872.35,871,872.25,472,0
10,872.4,872.4,870.8,871,506,0
11,873.75,873.95,871.15,871.3,212,0
12,873,874.4,873,873.6,386,0
13,872.25,874.25,872.25,873.95,270,0
14,872.3,872.65,872.25,872.3,192,0
15,871.75,872.2,871.05,872,727,0
16,872,872,871,871,167,0
17,873,873,872.2,872.2,127,0
18,872.9,873,872.4,873,184,0
19,871.05,872.15,871.05,871.05,381,0
20,871,871.8,870.05,871.8,603,0
21,868.9,871.1,868,871.1,844,0
22,869.35,870.35,868.55,868.55,307,0
23,864.6,868.55,864.6,868.55,2779,0
24,865.95,866,862.15,864.25,1248,0
25,865,865.9,864.05,864.05,338,0
26,865.6,866.5,864.7,865,595,0
27,861.55,866,861.25,865.7,1288,0
28,863,863.95,862,862,732,0
29,863,864,861.6,863,1067,0
30,862.9,863,862.5,862.5,681,0
31,863,864.7,862.9,862.9,2380,0
32,864.1,864.4,862.5,863.4,845,0
33,863.8,864.1,862.75,864.1,78,0
34,865,865,863.75,863.75,313,0
35,863.75,864,863.75,864,299,0
36,864.1,865,863.5,863.5,2090,0
37,865,866,864.85,864.85,1183,0
38,864.05,865.9,864,865,450,0
39,864,864.95,864,864.1,139,0
40,864.25,864.3,863.6,864,207,0
41,863.8,864.25,863.45,863.8,182,0
42,864.25,864.3,864.25,864.3,123,0
43,864,864.25,863.25,864.25,366,0
44,863.55,865,863.3,864,1301,0
45,864.9,864.9,863.5,863.5,791,0
46,866,866,864.95,865,380,0
47,864.55,865,864.1,865,420,0
48,864.5,864.5,864.1,864.1,42,0
49,866.25,866.25,864.15,864.15,384,0
50,864,865.55,864,865.55,793,0
51,862,863.7,861.95,863.7,1785,0
52,862.5,864.8,862.1,862.1,621,0
53,862.7,863.65,862.3,863.45,81,0
54,863.15,863.15,862.9,862.9,580,0
55,863,863.65,862.55,863.55,327,0
56,863.25,863.65,862.55,863.15,290,0
57,862.8,863.65,862.55,862.55,199,0
58,862.85,863.75,861.95,863.75,456,0
59,861.8,862.8,861.15,861.15,327,0
60,862.25,862.25,861.1,861.1,767,0
61,863.85,863.85,862,862,662,0
62,863.3,863.85,863.3,863.7,168,0
63,863.8,864.4,862.55,862.65,220,0
64,864.95,864.95,864.15,864.15,150,0
65,865,866,865,865,743,0
66,864.35,864.7,864.35,864.7,15,0
67,865.65,865.7,862,862,599,0
68,865.45,865.45,864.75,864.75,51,0
69,865.4,865.4,865.4,865.4,14,0
70,865,865.5,865,865.5,79,0
71,863.7,865,863.7,865,241,0
72,865.5,866.05,864.2,864.2,286,0
73,863,866,863,866,120,0
74,865.5,865.5,863.25,863.3,719,0
75,869.2,869.25,865.4,865.4,801,0
76,867.95,869.25,867.1,869.25,538,0
77,866.75,867,866.75,867,52,0
78,867.3,867.4,867,867.25,93,0
79,867,867.65,867,867.65,204,0
80,865.05,867.85,865.05,867.7,697,0
81,866,866,865,865,65,0
82,865.95,866.35,865.95,866.35,36,0
83,866.8,866.85,866,866.85,18,0
84,866.8,866.8,866.8,866.8,10,0
