EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530762300,1870.05,1870.05,1870.05,1870.05,637,0
1,1866,1871.8,1865,1871.8,32723,0
2,1864.9,1865.85,1863.1,1865.45,10945,0
3,1868.3,1869,1864.7,1864.9,14765,0
4,1870.5,1872,1868,1868.3,26462,0
5,1869.55,1870.55,1868.55,1870.35,19201,0
6,1869.5,1869.6,1868.2,1869.55,11805,0
7,1873.4,1873.4,1869.35,1869.45,31807,0
8,1870.25,1874.7,1870.25,1873.4,30913,0
9,1869.8,1870.25,1867.55,1870.25,13370,0
10,1869.55,1870.3,1868.1,1869.8,8254,0
11,1868,1869.75,1868,1869.55,7199,0
12,1865.2,1868.75,1865.05,1868.2,13038,0
13,1867.3,1867.5,1865,1865.1,7056,0
14,1865.7,1867.5,1864.95,1867.3,11166,0
15,1864.1,1865.75,1863.35,1865.7,6584,0
16,1863.05,1864.35,1862.1,1863.7,5863,0
17,1866.05,1866.5,1863.05,1863.9,8020,0
18,1863.75,1866.05,1863.75,1866.05,8300,0
19,1865.55,1866.4,1864,1864.25,9050,0
20,1868,1868,1865.1,1865.55,12973,0
21,1868.7,1869.45,1867.65,1867.75,10631,0
22,1870.25,1870.7,1869,1869,27487,0
23,1869.75,1870,1869,1870,8978,0
24,1869.4,1869.95,1869.2,1869.9,6709,0
25,1870.05,1870.2,1868.9,1869.25,17500,0
26,1870.1,1871.2,1870,1870,14008,0
27,1872.6,1872.7,1870.1,1870.1,20928,0
28,1873.05,1873.45,1872.6,1872.6,14029,0
29,1872.75,1873.5,1872.75,1873.05,9764,0
30,1874.25,1874.85,1873,1873,13214,0
31,1873,1874.45,1873,1874.45,15834,0
32,1871.2,1873.85,1871.2,1873.05,11009,0
33,1870.4,1871.85,1870,1871.15,7107,0
34,1870.3,1870.5,1869.95,1870.45,6868,0
35,1872.85,1873,1870.25,1870.35,6581,0
36,1871.7,1873.4,1871.55,1873.4,4864,0
37,1869.4,1871.65,1869.1,1871.65,9748,0
38,1869.25,1869.8,1869,1869.4,7453,0
39,1869.5,1869.85,1869.05,1869.25,6792,0
40,1869.95,1870.2,1869.15,1869.2,11669,0
41,1869.55,1869.95,1869.55,1869.9,5758,0
42,1868.95,1869.8,1868.5,1869.45,5997,0
43,1867.9,1869,1867.45,1868.95,11183,0
44,1867.85,1868.65,1867.85,1867.9,8015,0
45,1868.2,1869,1867.25,1867.85,3963,0
46,1867.35,1868.7,1867.35,1868.15,7034,0
47,1867.7,1867.95,1866.9,1867,9085,0
48,1867.25,1867.85,1866,1867.85,5594,0
49,1867.4,1867.45,1866,1867.2,4048,0
50,1867.8,1868.25,1867,1867.4,3430,0
51,1869.15,1869.25,1867.7,1867.7,6818,0
52,1869.45,1869.5,1868.15,1869.15,12143,0
53,1869.4,1869.5,1869.35,1869.45,3296,0
54,1867.8,1869.45,1867.2,1869.4,2608,0
55,1867,1867.8,1867,1867.75,4869,0
56,1866.8,1867.2,1866.5,1867,2227,0
57,1866.2,1867,1866,1866.7,6337,0
58,1866.25,1866.85,1865.25,1866.1,4992,0
59,1866.2,1866.3,1865.3,1866.1,2602,0
60,1866.65,1866.65,1865.05,1866.05,5757,0
61,1868.85,1868.95,1866.65,1866.65,3603,0
62,1868.8,1868.85,1868.4,1868.85,3111,0
63,1865.9,1868.8,1865,1868.7,9010,0
64,1867.6,1867.95,1866.1,1866.1,3239,0
65,1867.05,1867.8,1866.3,1867.55,1989,0
66,1865.4,1867.1,1865.4,1867.1,3886,0
67,1866.6,1866.75,1865,1866,8740,0
68,1867.05,1867.6,1866.05,1866.6,5488,0
69,1867.3,1867.45,1866.9,1867.05,4190,0
70,1867.25,1867.75,1867,1867,4993,0
71,1867.25,1867.7,1867,1867.35,2064,0
72,1869.25,1869.25,1867,1867.35,9541,0
73,1868.75,1869.25,1867.95,1869.2,3456,0
74,1867.7,1868.85,1867.45,1868.65,4936,0
75,1867.8,1868.1,1867.05,1867.7,1892,0
76,1867,1867.8,1866.9,1867.8,4666,0
77,1867.1,1867.7,1866.45,1867.25,3574,0
78,1868.9,1869.15,1867.45,1867.65,4231,0
79,1869.3,1869.5,1867.55,1868.95,4062,0
80,1869.3,1869.5,1868.75,1869.5,5461,0
81,1867.75,1869.3,1867,1869.2,4887,0
82,1868.35,1868.95,1867.7,1867.95,6145,0
83,1867.45,1868.8,1867.2,1868.8,3988,0
84,1867.1,1867.7,1866.9,1867.45,4196,0
85,1867.5,1867.6,1866.9,1867.1,23576,0
86,1867.35,1867.4,1866.45,1867.4,3535,0
87,1867,1867.3,1866.15,1867,4590,0
88,1866.55,1866.95,1866.15,1866.95,2488,0
89,1866.5,1866.9,1866.1,1866.55,3250,0
90,1865.35,1866.45,1865.25,1866.45,2869,0
91,1865.2,1865.55,1865,1865.35,3792,0
92,1865,1865.3,1864,1865.3,11144,0
