EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531971900,645.65,645.65,645.65,645.65,1919,0
1,652,652,645.35,645.65,44471,0
2,651.25,653.55,650.9,651.95,32955,0
3,650.25,651.8,649.9,651.25,18821,0
4,652,652.05,650.5,650.5,9710,0
5,653.55,654.9,652.55,652.55,32363,0
6,652.5,653.95,652.15,653.6,17933,0
7,652.25,652.25,651.1,652.25,9774,0
8,651.25,652.6,651.05,652.2,11461,0
9,650.1,651.6,649.5,651.25,14714,0
10,649.2,649.9,648.05,649.9,6937,0
11,648.8,649.3,648,649.2,4601,0
12,649.4,649.45,649,649,5589,0
13,647.8,649.4,647.35,649.4,13372,0
14,645.8,647.85,645.25,647.45,7555,0
15,647.9,647.9,645.6,645.8,8431,0
16,647,647.9,646.8,647.75,4072,0
17,646.15,647,646.1,647,2059,0
18,645.1,646.25,645.1,646.15,4409,0
19,647.5,647.5,645,645.1,9628,0
20,646.1,647.65,646.1,647.45,5203,0
21,645.5,646.6,645.5,646.25,4275,0
22,645,645.75,645,645.75,6075,0
23,646.3,646.3,644.95,645,12274,0
24,646.8,646.85,646.3,646.3,2626,0
25,646.3,646.85,646,646.8,3543,0
26,646.45,647.05,646.35,646.35,3842,0
27,645.2,646.45,645,646.4,4101,0
28,644.55,645.3,642.7,645.15,16018,0
29,644.25,644.8,643.6,644.55,5039,0
30,642,644.5,642,644.35,7183,0
31,642.6,642.6,642,642,4842,0
32,643.15,643.15,642.7,642.85,5784,0
33,643.3,643.65,643.15,643.65,2187,0
34,643.45,643.5,643.4,643.4,1803,0
35,643,643.45,642.35,643.45,2874,0
36,642.75,643,642.25,643,3250,0
37,643.3,643.3,642.7,642.8,3085,0
38,644.35,644.35,643.3,643.3,3099,0
39,644.55,644.55,644.3,644.35,6329,0
40,644.8,644.8,644.45,644.5,3842,0
41,644.6,644.85,644.35,644.85,23765,0
42,644.5,645.45,644.5,644.6,6552,0
43,644,644.85,643.5,644.65,7506,0
44,643.65,643.95,643.25,643.95,6957,0
45,643.65,644.35,643.6,643.65,6241,0
46,643.45,644,643.45,643.95,6560,0
47,642.25,643.45,641.35,643.45,14625,0
48,643.7,643.7,642.35,642.35,3826,0
49,643.1,644,643.1,643.8,8519,0
50,642.7,643.25,642.05,643.1,8471,0
51,642.45,642.7,642.05,642.7,5400,0
52,642.95,642.95,642.35,642.35,1831,0
53,643.25,643.25,642.9,642.95,1986,0
54,642,643.25,642,643.25,7150,0
55,642.25,642.35,641.3,642.35,4298,0
56,643.25,643.25,642.25,642.25,2379,0
57,643.45,643.45,643.2,643.25,1020,0
58,644.3,644.45,643.4,643.4,9361,0
59,645,645.55,644.3,644.3,8541,0
60,644.5,645.05,644.5,645,2817,0
61,644.95,644.95,644.6,644.75,1919,0
62,644.4,645,644.4,644.9,1917,0
63,645.7,645.8,644.65,644.65,6805,0
64,646.45,646.55,645.8,646,5281,0
65,648,648.9,646.4,646.45,20725,0
66,646.75,648.3,646.75,647.9,4182,0
67,647.3,647.3,646.8,647.25,3281,0
68,647.45,647.5,647,647.35,5218,0
69,647.2,647.75,647.15,647.5,2750,0
70,646.9,647.45,646.9,647.2,2499,0
71,646.3,647,646.25,647,5272,0
72,645.5,646.3,645.1,646.3,4534,0
73,645.05,645.45,644.6,645.25,4827,0
74,646.2,646.2,645,645.05,2609,0
75,646.4,646.4,646.2,646.2,566,0
76,646.6,646.6,646.4,646.5,2322,0
77,646.75,646.75,646.6,646.6,3873,0
78,647.35,647.5,646.75,647,3560,0
79,647.8,648.05,647.2,647.3,7283,0
80,647.5,648,647.5,648,1597,0
81,647.6,647.7,647.5,647.5,1516,0
82,648,648.8,647.55,647.55,16379,0
83,648.2,648.25,647,648.1,14198,0
84,648.1,648.35,647.75,648.35,2083,0
85,648.15,648.25,647.8,648.1,3314,0
86,648.25,648.25,647.9,647.9,2661,0
87,648.25,648.3,648.2,648.2,985,0
88,648.35,648.35,648.25,648.35,887,0
89,648.35,648.45,648.25,648.25,795,0
90,648.5,648.5,648.4,648.45,2702,0
91,649.85,649.85,648.45,648.45,15262,0
92,650.15,651.55,649.6,649.8,22397,0
93,649.55,650.35,649.55,650,4004,0
94,649.85,649.95,649.65,649.95,1872,0
95,650.05,650.05,649.75,649.9,2373,0
96,649.15,650.25,649.15,650.1,2517,0
97,649.1,649.4,648.7,649.15,2584,0
98,649.15,649.3,649.1,649.1,962,0
99,649.25,649.4,649.15,649.15,223,0
100,649.15,649.25,649.15,649.15,782,0
101,649.1,649.25,649.1,649.25,1632,0
102,648.6,649.1,648.5,649.1,2506,0
103,648.3,648.5,648.2,648.5,1579,0
104,648.7,648.7,648.3,648.3,3356,0
105,648.7,648.9,648.5,648.7,1843,0
106,648.7,648.8,648.65,648.65,1562,0
107,649.05,649.05,648.7,648.7,250,0
108,649,649,648.75,649,985,0
