EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,60.8,61.3,60.6,61.1,615,0
1,60.7,60.7,60.7,60.7,1,0
2,60.45,60.8,60.45,60.7,435,0
3,60.5,60.5,60.45,60.5,156,0
4,60.55,60.55,60.5,60.55,65,0
5,60.55,60.55,60.5,60.5,262,0
7,60.6,60.65,60.6,60.65,638,0
8,60.6,60.6,60.6,60.6,71,0
9,60.5,60.65,60.5,60.6,177,0
10,60.65,60.65,60.5,60.5,637,0
13,60.9,60.9,60.65,60.65,669,0
14,60.7,60.8,60.7,60.8,891,0
16,60.8,60.8,60.8,60.8,29,0
17,60.9,60.9,60.8,60.8,480,0
18,60.9,60.9,60.9,60.9,520,0
19,60.9,60.9,60.9,60.9,100,0
25,61,61,60.8,60.8,1040,0
26,61,61,61,61,774,0
28,61,61,61,61,200,0
31,60.85,60.85,60.85,60.85,375,0
32,60.85,60.85,60.85,60.85,108,0
33,60.85,60.85,60.85,60.85,100,0
35,60.85,61,60.85,61,1242,0
36,61,61,61,61,25,0
37,61,61,60.9,60.9,500,0
38,61,61,61,61,50,0
40,60.9,60.9,60.9,60.9,533,0
42,60.8,60.9,60.8,60.9,295,0
43,60.8,60.8,60.8,60.8,41,0
45,61,61,61,61,54,0
47,60.7,60.9,60.7,60.8,712,0
48,60.55,60.65,60.55,60.65,414,0
49,60.6,60.6,60.55,60.55,268,0
50,60.95,61,60.7,60.7,1627,0
52,60.85,60.85,60.85,60.85,1,0
54,60.8,60.8,60.7,60.8,1708,0
55,61,61,60.9,60.9,1109,0
56,60.95,61,60.95,61,613,0
57,60.9,60.95,60.9,60.95,315,0
58,60.9,60.9,60.7,60.7,300,0
59,60.9,60.9,60.9,60.9,50,0
64,60.9,60.95,60.9,60.95,1296,0
65,60.95,60.95,60.95,60.95,50,0
66,60.8,60.8,60.8,60.8,1500,0
68,60.8,60.8,60.8,60.8,116,0
70,60.8,60.8,60.8,60.8,100,0
71,60.8,60.8,60.8,60.8,300,0
73,60.9,60.95,60.8,60.95,160,0
74,60.5,60.8,60.5,60.8,1570,0
75,60.55,60.55,60.55,60.55,40,0
76,60.55,60.55,60.55,60.55,170,0
77,60.7,60.7,60.7,60.7,50,0
79,60.8,60.8,60.8,60.8,200,0
80,60.6,60.6,60.6,60.6,200,0
