EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,273.9,274,273.9,274,89,0
1,273.9,273.9,273.9,273.9,499,0
2,272.55,273.2,272.55,273.2,217,0
3,272.95,272.95,272.95,272.95,2,0
4,272.95,272.95,272.95,272.95,10,0
5,271.25,272.5,271.25,272.5,420,0
6,271.5,271.8,271.5,271.8,134,0
7,271.25,271.9,271.25,271.9,766,0
8,271.2,271.6,271.05,271.05,943,0
10,270.65,271.55,270.65,271.55,1186,0
11,270.75,271.1,270.65,270.7,512,0
12,271.9,271.9,270.75,270.8,2654,0
13,271.4,271.9,271.05,271.4,1038,0
14,271.7,271.8,271.7,271.7,100,0
15,271.7,271.75,271.15,271.65,574,0
17,271.2,271.65,271.2,271.65,2,0
18,270.55,271.15,270.55,271.15,1212,0
19,271.45,271.45,270.55,270.55,1354,0
20,271,271.8,270.65,271.8,382,0
21,271.25,271.25,271.2,271.2,29,0
23,271.1,271.4,271.1,271.4,272,0
25,271.1,271.1,271.1,271.1,15,0
27,271.65,271.65,271.5,271.5,76,0
28,271.75,271.75,271.75,271.75,50,0
29,271.55,271.75,271.55,271.75,42,0
33,271.8,271.8,271.8,271.8,30,0
34,271.5,271.8,271.5,271.8,530,0
35,271.5,271.5,271.5,271.5,5,0
36,271.5,271.8,271.5,271.75,172,0
37,270.55,271.6,270.55,271.5,3156,0
38,270.75,270.75,270.55,270.55,104,0
39,270.6,270.75,270.55,270.75,168,0
40,270.6,270.8,270.55,270.55,657,0
41,270.25,270.75,270.25,270.6,836,0
42,270.1,270.4,270.1,270.2,1096,0
43,270.15,270.35,270.1,270.1,281,0
44,270.15,270.3,270.15,270.15,957,0
45,270.3,270.3,270.15,270.15,139,0
46,270.15,270.4,270.1,270.3,778,0
47,269.3,270.15,268.85,270.15,6781,0
48,269,269.35,268.9,269.3,261,0
49,268.9,269.3,268.9,269.3,186,0
50,269,269.25,268.9,268.95,913,0
51,269.05,269.05,268.85,269,799,0
52,269,269.45,269,269.05,404,0
53,269.25,269.25,268.85,269,328,0
54,268.9,269.9,268.85,269.25,3821,0
55,268.85,269,268.85,268.9,512,0
56,268.5,268.95,268.2,268.95,1619,0
57,268.9,268.95,268.5,268.5,110,0
58,268.95,268.95,268.65,268.95,558,0
59,268.8,269,268.75,268.95,139,0
60,268.35,269,268.35,268.8,2258,0
61,268.75,268.75,268.3,268.35,188,0
62,268.7,268.75,268.35,268.4,279,0
63,268.55,268.7,268.4,268.7,58,0
64,268.4,268.7,268.4,268.6,172,0
65,268.45,268.45,268.4,268.4,31,0
66,268.4,268.8,268.4,268.45,205,0
67,268.35,268.85,268.3,268.85,846,0
68,268.45,268.7,268.35,268.35,31,0
69,268.5,268.7,268.35,268.35,37,0
70,268.5,268.5,268.35,268.4,88,0
71,268.7,268.75,268.5,268.5,127,0
72,268.85,268.85,268.7,268.7,205,0
73,268.7,268.9,268.7,268.9,103,0
74,269.25,269.25,268.85,268.95,228,0
75,269.05,269.4,268.95,268.95,82,0
76,268.8,269.3,268.8,269,347,0
77,267.5,268.5,267.2,268.35,12051,0
78,268.6,268.65,267.3,267.3,4507,0
79,267.2,268.7,267.2,268.1,6686,0
80,267.25,268,267.2,267.2,14658,0
81,268.2,268.25,267.2,267.2,4421,0
82,267.25,268.2,267.2,268.2,10501,0
83,267.3,267.85,267.2,267.3,2324,0
84,267.35,267.65,267.35,267.35,147,0
