EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,595,595.05,595,595.05,11,0
1,595.05,595.05,595.05,595.05,4,0
2,595.05,595.05,595.05,595.05,1,0
5,595.1,595.1,595.1,595.1,1,0
6,595,595,595,595,27,0
9,595,595,595,595,17,0
12,595,595,595,595,26,0
13,593.65,593.65,593.65,593.65,5,0
16,593,593,593,593,25,0
18,592.95,592.95,592.95,592.95,50,0
19,594.95,594.95,593,593,50,0
20,592.3,592.3,592.3,592.3,1,0
23,592.3,592.3,592.25,592.25,54,0
24,592.25,592.25,592.25,592.25,7,0
31,593.5,593.5,593.5,593.5,5,0
32,594.2,594.2,594.2,594.2,9,0
39,594.2,594.2,594.2,594.2,6,0
43,594.25,594.25,594.25,594.25,10,0
45,592.95,594.9,592.95,594.9,36,0
46,593.15,593.15,593.15,593.15,10,0
47,594.2,594.2,594.2,594.2,1,0
48,594.9,594.9,593.55,593.55,26,0
49,594.9,594.9,594.9,594.9,6,0
52,595,595,595,595,67,0
54,595.05,595.1,595.05,595.1,18,0
62,594.9,594.9,594.9,594.9,67,0
64,595,595,595,595,34,0
68,594.95,594.95,594.95,594.95,6,0
72,594.95,594.95,594.95,594.95,2,0
82,594.9,594.95,594.9,594.95,20,0
