EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,857.15,861.15,854,860,29093,0
1,854.45,857.2,854.05,857.2,6645,0
2,855.5,856.4,854.45,855,9526,0
3,855.65,856.8,854.7,856.8,7819,0
4,856.85,858.2,856,856.2,8973,0
5,857.55,858.4,856.1,856.85,2981,0
6,857.05,858,856.2,857.5,5132,0
7,854.5,857.05,854,857.05,6920,0
8,854.7,854.7,853.1,853.55,6722,0
9,854.5,854.95,853.45,854.4,3277,0
10,855.45,855.5,853.85,854.95,5915,0
11,852.5,855.45,852.5,855.45,5967,0
12,852.85,853.2,850.15,852.85,7274,0
13,852,852.9,851.05,852.85,3247,0
14,852.45,853.4,852,852.2,6477,0
15,851.2,852.35,850.5,852.2,8885,0
16,852.9,852.9,850.5,851.2,3192,0
17,852.4,852.9,850.75,852.9,10491,0
18,851.4,852.4,851,852.4,3334,0
19,850.3,852,849.3,851.4,8526,0
20,849.2,850.15,847.9,850.15,12152,0
21,849.45,850,849,849.55,10521,0
22,849.7,849.95,849,849.45,2431,0
23,851,851.4,849.7,849.7,4001,0
24,852.4,852.4,850.75,850.95,4509,0
25,852.7,853.5,852.25,852.45,7386,0
26,850.55,852.95,850.55,852.75,4833,0
27,848.9,850.8,848.9,850.75,4154,0
28,848.4,848.95,848,848.95,2160,0
29,847.65,848.7,847.1,848.4,8398,0
30,847.9,848.5,847.55,847.75,3719,0
31,847.4,848.6,847.4,848,4054,0
32,848.8,849,847.65,847.65,2641,0
33,849,849,848.5,848.6,15968,0
34,849,849,848.55,848.9,2825,0
35,848.8,849,848.55,849,1863,0
36,847.8,848.7,847.4,848.7,3056,0
37,847.6,847.85,847.4,847.5,1116,0
38,847.35,847.8,846.6,847.7,7574,0
39,846.25,847.1,845.5,847.1,5917,0
40,846.25,846.9,846.25,846.25,3354,0
41,846.05,846.35,845.65,846,2172,0
42,845.7,846.3,845.7,846.15,2496,0
43,845.8,845.95,845.6,845.7,2159,0
44,845.7,846,845.55,845.95,2460,0
45,845.95,846.3,845.75,846,2060,0
46,846.25,847,846,846,2648,0
47,846.9,847,846.4,846.5,3584,0
48,846.95,847,846.2,847,15590,0
49,846.85,847,846.2,846.5,2148,0
50,848.5,848.5,847,847,2764,0
51,849,849.1,847.5,848.25,4694,0
52,849,849.5,848.55,849,2370,0
53,848.75,849.5,848.4,848.8,1552,0
54,848.5,848.65,848.05,848.65,4141,0
55,849.2,849.2,848.5,848.5,1787,0
56,849.5,850,849,849,3769,0
57,849.6,850,849.5,850,982,0
58,850.15,850.15,849.6,849.6,1604,0
59,849.4,850.4,849.3,850,4920,0
60,848,849.95,848,849.4,2781,0
61,848.5,848.6,848,848,1324,0
62,848.25,848.5,848.2,848.5,645,0
63,848.45,848.45,848.25,848.25,477,0
64,848.4,848.45,848.25,848.45,502,0
65,848.3,848.75,848.3,848.3,2012,0
66,846.8,848.45,846.55,848.3,4616,0
67,847.5,848,847,847.2,1533,0
68,847.55,847.8,847.5,847.5,202,0
69,847,847.55,846.6,847.55,1440,0
70,847,847.15,846.6,847.1,1830,0
71,846.5,847,846.5,847,2333,0
72,847.15,847.15,845.2,846.5,9705,0
73,847.55,847.65,846.9,846.9,1379,0
74,848,848,846.9,847.55,1745,0
75,848.75,849,847.6,847.6,1239,0
76,848.65,848.75,848.3,848.65,1204,0
77,849.45,850,848.65,848.65,2848,0
78,850.3,850.3,849.45,849.45,954,0
79,851.2,851.2,849.9,850.3,4425,0
80,850.75,851.35,850.75,851.3,2973,0
81,850.4,850.9,850.35,850.9,2463,0
82,850.9,850.9,850.4,850.4,1138,0
83,851,852,850.7,850.7,4635,0
84,851.25,851.9,851,851.05,2365,0
