EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,254.65,254.65,254.65,254.65,4,0
2,256.7,256.7,256.65,256.65,19,0
4,257.65,257.65,257.65,257.65,10,0
5,258.6,258.6,258,258,321,0
6,259.9,260.15,258.9,258.9,332,0
7,260,260.05,259.9,260.05,201,0
13,259.5,259.5,259.5,259.5,83,0
16,259.9,259.9,259.9,259.9,26,0
17,260,260,259.65,259.65,40,0
18,260.05,260.05,260,260,35,0
20,260,260,260,260,190,0
21,260,260,260,260,60,0
22,260,260,260,260,42,0
24,259.05,259.05,259.05,259.05,16,0
25,258.35,258.4,258.35,258.4,36,0
27,256.95,258.05,256,258.05,105,0
28,257,257,257,257,1,0
29,256.85,256.85,256.85,256.85,10,0
30,256.85,256.85,256.85,256.85,6,0
31,256.85,256.85,256.85,256.85,25,0
35,257,257.05,256.85,256.85,12,0
36,257.85,257.85,257.85,257.85,15,0
40,257.05,257.05,257.05,257.05,3,0
42,257,257,257,257,148,0
45,255.9,257,255.9,257,235,0
46,256.5,256.5,256.5,256.5,6,0
50,256.5,256.5,256.5,256.5,27,0
55,256.5,256.5,256.5,256.5,3,0
58,256.5,256.5,256.5,256.5,2,0
60,256.8,256.8,256.75,256.75,24,0
61,257.45,257.45,257.45,257.45,40,0
62,257.95,257.95,257.05,257.05,68,0
64,257.35,257.35,257.35,257.35,7,0
65,257.35,257.35,257.35,257.35,4,0
66,258.35,258.35,258.35,258.35,125,0
67,258.1,259,258.1,259,18,0
69,258.95,258.95,258.05,258.05,35,0
70,258.1,258.1,258.1,258.1,5,0
71,258,258,258,258,389,0
72,258,258,258,258,49,0
73,260,260,260,260,575,0
74,260.95,260.95,260.9,260.9,279,0
75,262,262,262,262,205,0
81,260.9,260.9,260.9,260.9,50,0
82,260.1,260.1,260.1,260.1,37,0
84,260.1,260.1,260.1,260.1,27,0
