EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,5860,5860,5860,5860,12,0
1,5860.6,5860.6,5860.6,5860.6,1,0
3,5880,5880,5880,5880,8,0
4,5880.6,5880.6,5880.6,5880.6,1,0
5,5890.5,5890.5,5890.5,5890.5,1,0
6,5898.6,5898.6,5898.6,5898.6,5,0
7,5898.6,5898.6,5890.65,5890.65,3,0
8,5900,5900,5900,5900,32,0
11,5910,5910,5902.65,5908,7,0
16,5902.95,5909,5902.95,5909,9,0
17,5902.95,5902.95,5902.95,5902.95,2,0
18,5902.95,5902.95,5902.95,5902.95,1,0
19,5902.95,5902.95,5902.95,5902.95,6,0
23,5884.6,5884.6,5884.6,5884.6,1,0
25,5886.2,5886.2,5886.2,5886.2,3,0
28,5893.7,5893.7,5893.7,5893.7,1,0
31,5886.1,5886.25,5886.1,5886.25,6,0
33,5871.35,5871.35,5871.35,5871.35,1,0
34,5870,5870,5870,5870,3,0
35,5868,5868,5868,5868,1,0
42,5908,5908,5908,5908,30,0
44,5900.35,5900.35,5900.35,5900.35,1,0
45,5900.35,5900.35,5900.35,5900.35,2,0
46,5890.1,5890.1,5890.1,5890.1,1,0
52,5890.2,5890.2,5890.2,5890.2,1,0
55,5890.2,5890.2,5890.2,5890.2,1,0
57,5886.1,5890.1,5886.1,5890.1,5,0
58,5880.05,5880.05,5880.05,5880.05,1,0
60,5850.95,5875,5845,5875,72,0
69,5833.6,5852,5833.6,5852,23,0
70,5835.55,5835.55,5811.4,5831,36,0
71,5849,5849,5842,5842,5,0
73,5863.45,5863.45,5863.45,5863.45,1,0
74,5879.55,5879.55,5871.1,5871.1,3,0
75,5883.75,5889.95,5883.75,5889.95,16,0
77,5875.15,5875.15,5875.15,5875.15,1,0
78,5879.7,5879.7,5879.7,5879.7,1,0
81,5872.6,5872.6,5872.6,5872.6,1,0
84,5885.9,5885.9,5885.9,5885.9,1,0
