EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,45.1,45.2,45,45.1,32996,0
1,45.2,45.2,45,45.15,54121,0
2,45.7,45.75,45.2,45.2,42129,0
3,45.55,45.8,45.55,45.65,53377,0
4,45.25,45.6,45.25,45.55,26166,0
5,45.15,45.35,45.15,45.25,140644,0
6,44.7,45.1,44.7,45.1,145887,0
7,45.2,45.2,44.75,44.75,251144,0
8,45.3,45.45,45.1,45.15,54422,0
9,45.1,45.3,45,45.3,178657,0
10,45.1,45.15,45,45.05,387003,0
11,45.35,45.35,45.1,45.1,62620,0
12,45.25,45.3,45.2,45.2,4532,0
13,45.2,45.3,45.15,45.3,11023,0
14,45.2,45.25,45.1,45.2,21964,0
15,45.1,45.2,45.1,45.15,6784,0
16,45.15,45.3,45.15,45.2,43417,0
17,45.3,45.3,45.3,45.3,100,0
18,45.5,45.5,45.2,45.2,21760,0
19,45.45,45.55,45.45,45.55,44229,0
20,45.4,45.5,45.4,45.4,7774,0
21,45.45,45.45,45.45,45.45,1030,0
22,45.35,45.45,45.35,45.4,2800,0
23,45.35,45.35,45.35,45.35,2125,0
24,45.35,45.35,45.3,45.35,5554,0
25,45.3,45.3,45.3,45.3,1280,0
26,45.3,45.35,45.3,45.3,13067,0
27,45.25,45.25,45.25,45.25,7579,0
28,45.35,45.4,45.3,45.3,2276,0
29,45.3,45.45,45.3,45.4,6801,0
30,45.35,45.35,45.35,45.35,1350,0
31,45.3,45.35,45.25,45.25,1003,0
32,45.4,45.4,45.3,45.3,2315,0
33,45.3,45.4,45.3,45.4,3014,0
34,45.4,45.4,45.3,45.3,861,0
35,45.3,45.4,45.3,45.4,8768,0
36,45.3,45.4,45.3,45.3,1378,0
37,45.5,45.5,45.4,45.4,27679,0
38,45.35,45.5,45.3,45.45,63847,0
39,45.3,45.3,45.3,45.3,1110,0
40,45.35,45.4,45.3,45.4,15320,0
41,45.35,45.4,45.3,45.3,8497,0
42,45.3,45.35,45.3,45.3,2910,0
43,45.35,45.35,45.3,45.35,522,0
44,45.35,45.35,45.35,45.35,642,0
45,45.35,45.35,45.3,45.3,1401,0
46,45.3,45.35,45.3,45.3,546,0
47,45.3,45.35,45.25,45.3,52396,0
48,45.25,45.3,45.25,45.25,9058,0
49,45.3,45.3,45.25,45.25,2350,0
50,45.35,45.35,45.3,45.3,1048,0
51,45.35,45.35,45.35,45.35,1200,0
52,45.3,45.3,45.3,45.3,100,0
53,45.3,45.3,45.3,45.3,5661,0
54,45.35,45.35,45.35,45.35,1,0
55,45.35,45.35,45.25,45.35,1035,0
56,45.35,45.4,45.35,45.4,1503,0
58,45.25,45.3,45.25,45.25,9002,0
59,45.3,45.4,45.3,45.35,8117,0
60,45.3,45.3,45.25,45.3,1852,0
61,45.3,45.35,45.3,45.3,1320,0
62,45.35,45.35,45.3,45.35,755,0
63,45.25,45.35,45.25,45.35,867,0
64,45.35,45.35,45.25,45.25,702,0
65,45.25,45.3,45.25,45.25,155031,0
66,45.35,45.35,45.25,45.25,1320,0
67,45.3,45.3,45.25,45.25,3851,0
68,45.3,45.3,45.25,45.25,9725,0
69,45.3,45.3,45.3,45.3,1001,0
70,45.3,45.3,45.25,45.25,15000,0
71,45.25,45.3,45.25,45.3,22150,0
72,45.25,45.25,45.25,45.25,510,0
73,45.35,45.35,45.25,45.25,880,0
74,45.25,45.3,45.25,45.3,30454,0
75,45.3,45.3,45.25,45.25,32740,0
76,45.3,45.3,45.3,45.3,3266,0
78,45.3,45.4,45.25,45.25,26163,0
79,45.35,45.35,45.3,45.3,5192,0
80,45.35,45.35,45.35,45.35,150,0
81,45.3,45.3,45.25,45.3,16075,0
82,45.3,45.3,45.25,45.25,13381,0
83,45.35,45.35,45.3,45.3,300,0
84,45.3,45.3,45.3,45.3,21,0
