EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1068.65,1075.8,1066.55,1070.9,2517,0
1,1065.2,1072.1,1065.2,1070,5280,0
2,1070,1070,1063.05,1065.1,3130,0
3,1077.4,1077.45,1070.95,1071.1,4979,0
4,1078.35,1079,1074.55,1077,1683,0
5,1077,1079.05,1076,1077.8,1584,0
6,1076.5,1076.5,1074.15,1076,3731,0
7,1070.25,1074.8,1070,1074.8,2056,0
8,1072,1072,1069.5,1070,1130,0
9,1074.5,1074.5,1071,1072.25,2057,0
10,1075,1075.3,1074,1075,1113,0
11,1076.75,1077.1,1075.3,1075.3,1936,0
12,1074.1,1075.95,1074.1,1075.95,2548,0
13,1073.85,1074.1,1072.1,1074.1,873,0
14,1074,1074.95,1073,1073.25,1083,0
15,1070.55,1074,1070.45,1074,3025,0
16,1067,1071.55,1066.15,1071,1865,0
17,1064.65,1067.85,1063.3,1065.8,2330,0
18,1060.55,1064.5,1060.55,1064.5,1887,0
19,1059,1061.9,1058,1060.5,1726,0
20,1059.95,1059.95,1057.25,1058.05,1715,0
21,1060.4,1061.25,1059.5,1059.5,1006,0
22,1062.15,1063.05,1060.4,1060.5,2045,0
23,1064.15,1065,1061.4,1062.95,1277,0
24,1066.5,1066.5,1063.05,1063.05,758,0
25,1075,1075,1066.75,1066.75,5302,0
26,1073.35,1075.65,1073.3,1075,2135,0
27,1074,1075,1074,1074,1709,0
28,1074.6,1074.65,1073.1,1073.55,1486,0
29,1076.05,1077,1074,1074.5,1625,0
30,1076.15,1077,1076,1076.1,1259,0
31,1083,1085,1076.95,1076.95,6593,0
32,1085.05,1085.5,1081.55,1083,3488,0
33,1088.7,1090.15,1085.1,1085.35,6908,0
34,1086.1,1089.1,1086,1088.5,2390,0
35,1085.85,1086.1,1084,1086.1,859,0
36,1080.15,1085,1080.15,1084.3,2876,0
37,1075.9,1081.5,1075,1081.45,1609,0
38,1076,1077,1075.55,1077,1205,0
39,1077,1077,1076.7,1076.7,261,0
40,1079,1079,1076.7,1076.7,789,0
41,1079,1079,1078,1079,785,0
42,1078.85,1078.85,1078.05,1078.25,241,0
43,1077,1078.5,1077,1078.5,684,0
44,1075.7,1077,1075.6,1076.7,142,0
45,1076.7,1076.7,1075.7,1076.65,365,0
46,1075.55,1076.6,1075.55,1076.05,991,0
47,1076.9,1077,1075.55,1076.05,2121,0
48,1076.7,1076.75,1075.65,1075.85,98,0
49,1076.5,1076.5,1076.15,1076.15,39,0
50,1077,1077,1076.3,1076.5,279,0
51,1077.35,1077.7,1076.7,1076.7,154,0
52,1077.35,1077.35,1077,1077.35,633,0
53,1077.25,1077.75,1077.25,1077.75,139,0
54,1077.2,1077.25,1077.2,1077.25,57,0
55,1076.25,1077.55,1076.2,1077.5,554,0
56,1073.55,1077,1073.5,1077,2176,0
57,1070.7,1074.4,1070,1074.4,1625,0
58,1070.6,1072.1,1070,1071.05,624,0
59,1065.4,1069.85,1064,1069.85,2022,0
60,1062.5,1065.7,1062.5,1065.7,2450,0
61,1065,1065,1061.5,1063.65,2101,0
62,1067.45,1067.45,1064.2,1064.2,1356,0
63,1067,1067.5,1066.05,1067.35,544,0
64,1066.6,1067.45,1065.9,1067,1728,0
65,1064.8,1067,1064.8,1065.05,1208,0
66,1062.85,1064.5,1062.15,1064.5,524,0
67,1061.8,1062.75,1060.2,1062,1259,0
68,1063.75,1063.75,1061,1061.55,1299,0
69,1066.4,1066.45,1063.9,1063.9,551,0
70,1065.75,1066.5,1064.3,1065.5,1604,0
71,1065.3,1065.9,1063.7,1065.85,1000,0
72,1065,1065.2,1063.95,1063.95,306,0
73,1065.5,1065.5,1065.45,1065.5,135,0
74,1064.7,1065.5,1064.7,1065,827,0
75,1065.45,1065.45,1064.7,1064.7,87,0
76,1065,1065.5,1065,1065.5,248,0
77,1064.8,1065,1064.55,1064.95,169,0
78,1066.75,1066.75,1064.45,1064.75,1317,0
79,1066.25,1067.85,1066.15,1066.15,262,0
80,1066.1,1067.85,1066,1067.85,550,0
81,1067.3,1067.3,1067.3,1067.3,20,0
82,1066.15,1067.3,1066.1,1066.1,17,0
83,1066.2,1067,1066.15,1066.15,72,0
84,1065.65,1066.25,1065.65,1066.25,164,0
