EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,17.85,17.85,17.85,17.85,35,0
1,17.85,17.85,17.85,17.85,1,0
2,17.85,17.9,17.85,17.9,81,0
3,17.9,17.9,17.9,17.9,131,0
4,17.85,17.85,17.85,17.85,56,0
5,17.85,17.85,17.85,17.85,51,0
6,17.9,17.9,17.9,17.9,2000,0
7,17.85,17.95,17.85,17.9,1562,0
8,17.85,17.9,17.85,17.85,1993,0
9,17.8,17.85,17.8,17.85,1663,0
10,17.9,17.9,17.8,17.8,1151,0
12,17.9,17.9,17.9,17.9,1475,0
13,17.8,17.85,17.8,17.85,1650,0
14,17.85,17.85,17.85,17.85,90,0
15,17.8,17.8,17.75,17.8,9309,0
16,17.8,17.8,17.8,17.8,2100,0
18,17.75,17.8,17.75,17.8,2906,0
21,17.75,17.75,17.75,17.75,100,0
23,17.75,17.75,17.75,17.75,100,0
24,17.8,17.8,17.75,17.75,368,0
25,17.75,17.8,17.75,17.75,12710,0
26,17.75,17.75,17.75,17.75,2000,0
27,17.8,17.8,17.8,17.8,100,0
28,17.8,17.8,17.8,17.8,87,0
29,17.8,17.8,17.8,17.8,40,0
31,17.8,17.8,17.8,17.8,56,0
32,17.75,17.8,17.75,17.8,150,0
33,17.8,17.8,17.8,17.8,700,0
34,17.8,17.85,17.8,17.85,36,0
37,17.85,17.85,17.85,17.85,202,0
38,17.8,17.8,17.8,17.8,1100,0
39,17.85,17.9,17.85,17.85,712,0
40,17.8,17.85,17.8,17.85,366,0
41,17.8,17.8,17.8,17.8,1234,0
43,17.8,17.8,17.8,17.8,100,0
44,17.8,17.85,17.8,17.8,655,0
45,17.8,17.85,17.8,17.85,1685,0
46,17.85,17.85,17.85,17.85,250,0
47,17.85,17.85,17.8,17.85,526,0
49,17.8,17.8,17.8,17.8,2,0
50,17.85,17.85,17.85,17.85,376,0
54,17.8,17.8,17.8,17.8,30,0
55,17.8,17.8,17.8,17.8,80,0
57,17.85,17.85,17.85,17.85,355,0
58,17.85,17.9,17.85,17.9,1596,0
59,17.9,17.9,17.9,17.9,750,0
60,17.85,17.9,17.85,17.9,504,0
61,17.9,17.9,17.9,17.9,2,0
63,17.9,17.9,17.9,17.9,1010,0
64,17.9,17.9,17.9,17.9,1000,0
65,17.9,17.9,17.8,17.8,3430,0
66,17.8,17.85,17.8,17.8,460,0
69,17.85,17.85,17.8,17.8,56,0
70,17.8,17.85,17.8,17.85,226,0
71,17.8,17.85,17.8,17.8,535,0
72,17.85,17.85,17.8,17.8,2,0
73,17.8,17.85,17.8,17.85,102,0
77,17.8,17.8,17.8,17.8,200,0
80,17.8,17.8,17.8,17.8,20,0
81,17.9,17.9,17.85,17.85,9535,0
82,17.95,17.95,17.9,17.95,11238,0
83,18,18,17.95,17.95,6299,0
84,18.05,18.05,17.95,18,3891,0
