EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,248.55,249.5,248.4,249.5,437,0
1,252,252,248.8,248.8,1188,0
2,251.55,251.8,250.6,251.8,653,0
3,251.35,251.5,250.35,251.4,1550,0
4,249.2,250.2,249.05,250.2,774,0
5,250.25,250.25,249.05,249.3,511,0
6,250.45,251.3,250.25,250.3,787,0
7,250.5,250.9,250.4,250.9,21,0
8,251,251,250.4,250.4,53,0
11,250.95,250.95,250.95,250.95,220,0
12,250.4,250.95,250.4,250.95,373,0
14,250.55,250.6,250.55,250.6,25,0
15,250.95,250.95,250.95,250.95,1,0
16,250.5,250.95,250.5,250.95,97,0
19,250.95,251,250.9,250.9,68,0
20,251.5,251.5,251.5,251.5,200,0
21,252,252,252,252,50,0
22,252,252,251.95,251.95,185,0
23,252.1,252.2,252.1,252.2,290,0
24,252.1,252.1,252.1,252.1,25,0
25,252.1,252.1,252.1,252.1,200,0
26,251.8,252.2,251.8,252.1,207,0
28,252,252,251.5,251.5,486,0
29,252,252,252,252,77,0
30,252.2,252.2,252,252,101,0
36,251.2,251.5,251.2,251.5,111,0
37,251.2,251.25,251.2,251.25,55,0
38,251.05,251.2,251.05,251.2,23,0
39,251.05,251.05,251.05,251.05,65,0
40,251,251.35,251,251.35,57,0
41,251,251,251,251,13,0
42,251,251,251,251,66,0
43,251,251,251,251,22,0
44,251,251,251,251,122,0
45,250.5,250.55,250.5,250.55,27,0
46,250.4,250.4,250.4,250.4,11,0
47,250.75,250.75,250.4,250.4,102,0
48,250.45,250.45,250.45,250.45,11,0
49,250.4,250.4,250.4,250.4,11,0
50,248.8,250.4,248.75,250.4,2269,0
51,248.8,248.8,248.8,248.8,33,0
52,248.75,248.8,248.75,248.8,55,0
53,248.75,249.25,248.75,248.75,22,0
54,249,249,248.75,249,66,0
55,249.4,249.4,249,249.25,56,0
56,249,249.45,249,249.45,189,0
57,249,249,249,249,25,0
59,249,249,249,249,46,0
60,248.3,249,248.3,249,281,0
61,248.25,248.3,248.25,248.3,320,0
62,248.2,248.2,248.2,248.2,46,0
63,248.7,248.7,248.6,248.6,45,0
64,248.7,248.7,248.65,248.65,125,0
66,248.9,248.9,248.6,248.6,110,0
67,248.5,248.5,248.5,248.5,3,0
69,249,249,248.85,248.85,59,0
70,249.15,249.15,249.15,249.15,78,0
73,249.15,249.15,249.15,249.15,4,0
76,248.4,249.15,248.4,249.15,11,0
82,249.1,249.1,249.1,249.1,3,0
83,249.1,249.1,249.1,249.1,7,0
84,249.2,249.2,249.15,249.15,26,0
