EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,379.25,380,379,379,3277,0
1,378.2,379.2,378.15,379.2,1307,0
2,378.65,378.9,378.4,378.9,1427,0
3,379.15,379.15,378.6,378.6,480,0
4,379,379,378.95,378.95,426,0
5,379.15,379.2,379,379,2562,0
6,378.65,379.3,378.5,379.2,3777,0
7,378.6,378.8,378,378.5,854,0
8,379,379,378.65,378.8,1400,0
9,379,379,378.75,378.75,325,0
10,378.65,379,378.65,378.7,985,0
11,378.85,378.85,378.85,378.85,100,0
12,377.5,378.85,377.5,378.85,2059,0
13,377.55,377.9,377.55,377.7,190,0
14,378.25,378.3,377.85,377.85,375,0
15,378.25,378.6,378.25,378.6,142,0
16,378,378,378,378,100,0
17,377.75,378,377.75,378,140,0
18,377.75,377.75,377.75,377.75,265,0
19,377.55,377.6,377.55,377.6,131,0
20,376.7,377.55,376.5,377.55,1633,0
21,377.5,377.5,376.65,376.7,267,0
22,378.05,378.4,378.05,378.15,689,0
23,378.45,378.55,377.95,378.2,347,0
24,378,378.65,377.9,378.65,1350,0
25,378,378,377.95,377.95,477,0
26,378.3,378.3,377.95,377.95,859,0
27,377.85,378.25,377.85,378.25,806,0
28,377.85,377.85,377.85,377.85,50,0
29,377.65,377.65,377.5,377.65,4153,0
30,378,378,378,378,2206,0
31,377.35,378,377.35,378,739,0
32,377.75,377.8,377.75,377.8,72,0
33,377.65,377.7,377.65,377.7,110,0
34,377.2,377.4,377.1,377.1,304,0
35,376.7,377,376.7,377,845,0
36,377.45,377.45,376.95,377,3060,0
37,377.9,377.9,377.45,377.45,368,0
38,377.65,377.8,377.65,377.8,526,0
39,379.4,379.85,377,377.65,16808,0
40,378.65,379.2,378.4,378.7,6063,0
41,377.45,378.65,377.45,378.65,5602,0
42,377.45,377.75,377.2,377.45,333,0
43,377.85,377.95,377.4,377.4,1167,0
44,377,378,377,377.65,3103,0
45,376.95,377,375.9,377,4113,0
46,378.05,378.1,377,377.05,5677,0
47,377.65,378.15,377.35,378,1921,0
48,376.95,377.9,376.95,377.65,4520,0
49,376.25,376.95,376.25,376.95,2055,0
50,375.6,376.05,375.6,376,3791,0
51,376.95,376.95,375.5,375.5,1013,0
52,376.85,377.05,376.4,376.95,404,0
53,376.65,376.7,376.65,376.7,234,0
54,376.9,376.9,376.7,376.7,601,0
55,376.55,376.9,376.5,376.9,591,0
56,376,376.5,376,376.5,763,0
57,376,376,376,376,26,0
58,376.35,376.35,375.4,376,3661,0
59,375.45,375.9,375,375.9,4713,0
60,375.2,375.25,375,375.05,2655,0
61,375.8,376,375.5,376,1162,0
62,375.8,375.85,375.7,375.85,106,0
63,375.8,375.95,375.55,375.7,831,0
64,376.55,376.55,376,376,2024,0
65,376,376.35,376,376.25,723,0
66,376.1,376.1,375.65,375.8,897,0
67,376.25,376.25,376.25,376.25,300,0
68,376.3,376.3,376.3,376.3,58,0
70,376,376.3,376,376.3,250,0
71,376.3,376.3,376.3,376.3,100,0
72,376.3,376.3,376.3,376.3,266,0
73,375.85,376,375.85,376,484,0
74,376.05,376.05,375.8,375.8,175,0
75,375.9,375.9,375.85,375.85,36,0
76,375.9,375.9,375.9,375.9,25,0
77,375.95,376,375.9,375.9,131,0
78,376.2,376.2,375.85,375.9,384,0
79,376.65,376.95,376.1,376.1,1600,0
80,376.35,376.55,376.35,376.45,41,0
81,376.35,376.35,376.35,376.35,50,0
83,376.45,376.45,376.3,376.45,351,0
