EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,3882.55,3910.3,3880,3910.3,747,0
1,3893.2,3897.95,3881.6,3882.55,1276,0
2,3886.85,3892.8,3883.05,3892.8,871,0
3,3893.6,3898.4,3886.85,3886.85,772,0
4,3886.85,3897.35,3885.6,3892.4,735,0
5,3886.7,3890.3,3886,3890.3,386,0
6,3884.25,3889.3,3884.1,3889.3,579,0
7,3885.2,3885.5,3879.05,3885.1,787,0
8,3885.4,3889.55,3881.6,3883.85,601,0
9,3887.55,3890,3885,3885,171,0
10,3889.45,3891.85,3886.05,3887.6,572,0
11,3895,3896,3889.15,3889.15,234,0
12,3890.4,3895.1,3889.15,3895.1,361,0
13,3886.5,3891.55,3885.45,3891.55,187,0
14,3885.65,3886.55,3881.35,3886.35,597,0
15,3883.45,3886,3882.05,3884,424,0
16,3882.25,3885.7,3880,3885.7,297,0
17,3886.05,3886.65,3881,3882.25,523,0
18,3890,3890,3884.5,3884.5,90,0
19,3891.2,3892.2,3887.5,3887.5,137,0
20,3898,3898,3893,3893,584,0
21,3898.5,3898.5,3894.9,3897.95,307,0
22,3898.05,3899.95,3898,3898.95,344,0
23,3900,3900.45,3897.85,3898.05,539,0
24,3903.95,3905,3901.05,3901.95,870,0
25,3907,3907,3903.75,3903.75,1018,0
26,3905.45,3908,3905,3905.05,278,0
27,3909,3910,3907,3907,521,0
28,3908,3908.05,3903.45,3908.05,344,0
29,3905,3906,3905,3905.5,228,0
30,3900.05,3904.7,3900.05,3903.45,279,0
31,3895,3899.5,3891.8,3899.5,792,0
32,3902,3902,3895.25,3895.25,457,0
33,3907.5,3907.5,3904,3904,384,0
34,3909.6,3910,3905.6,3905.6,455,0
35,3909,3910,3906.15,3909.6,483,0
36,3907.65,3909,3907.65,3909,109,0
37,3907.15,3909,3906.4,3907.65,206,0
38,3911,3911,3908.75,3909,572,0
39,3916,3917,3911.3,3911.3,1273,0
40,3912.2,3917,3912.2,3916,431,0
41,3912.3,3912.3,3910.6,3912.3,188,0
42,3908,3912.3,3907.55,3912.3,510,0
43,3907.5,3909,3907.5,3908,159,0
44,3903.7,3906.8,3903.65,3906.8,229,0
45,3903.05,3905.55,3903.05,3903.7,130,0
46,3905.85,3906.85,3901.05,3901.05,259,0
47,3906.95,3911.6,3906.35,3908.5,296,0
48,3907,3908.9,3906.1,3908.9,129,0
49,3907,3907.95,3907,3907.75,22,0
50,3904.3,3906.5,3904.3,3906.5,96,0
51,3902.9,3907,3902.9,3904.85,109,0
52,3902.95,3903.45,3900.95,3903.45,306,0
53,3902.5,3904.7,3901.05,3901.05,147,0
54,3902.55,3904.85,3901.5,3903.25,200,0
55,3892.25,3902.55,3892.2,3902.55,1497,0
56,3893,3897.1,3891.9,3891.9,522,0
57,3892.65,3894.85,3892.25,3894.15,50,0
58,3890,3892.65,3890,3892.6,800,0
59,3890.85,3891.75,3890,3890,275,0
60,3890,3891.8,3888.9,3890.85,251,0
61,3892,3892,3888.9,3888.9,160,0
62,3890.9,3891.75,3890.15,3890.15,45,0
63,3894.75,3896.55,3891.75,3891.75,122,0
64,3895.5,3895.5,3894.7,3894.7,39,0
65,3891.75,3895.5,3891.75,3894.8,348,0
66,3890,3891.75,3890,3891.75,93,0
67,3886.75,3890.9,3886.05,3890,621,0
68,3887.9,3888.7,3886,3887.05,277,0
69,3886,3887.75,3886,3886,44,0
70,3887,3887,3885,3885.05,281,0
71,3886.05,3888,3886.05,3888,223,0
72,3887.55,3890.6,3885,3886.05,835,0
73,3893.3,3893.3,3888.65,3888.65,159,0
74,3890.15,3895.9,3890.15,3894.55,71,0
75,3893.55,3896.45,3890.15,3890.15,763,0
76,3892,3895,3892,3893.65,207,0
77,3890.9,3892,3890.3,3892,57,0
78,3892,3892,3890.9,3891,57,0
79,3892.25,3893.85,3892.25,3893.5,11,0
80,3891.05,3892.05,3891.05,3892.05,61,0
81,3889.95,3893,3889.95,3891.05,168,0
82,3888.9,3890,3888.9,3889.95,84,0
83,3889.95,3891.9,3889.35,3891.45,97,0
84,3890.05,3891.85,3890.05,3891.85,33,0
