EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530762300,627.25,627.25,627.25,627.25,3,0
1,624.9,626,623.1,626,5349,0
2,622.6,624.95,621.55,624.6,4282,0
3,623,623,622,622.25,3753,0
4,624.35,624.75,623.1,623.35,4786,0
5,623,624.15,622.75,624,2229,0
6,623.75,623.75,622.35,623.4,2681,0
7,623.75,624,623.45,624,767,0
8,623.3,624,623.1,623.55,3367,0
9,623.6,623.6,623,623.3,1119,0
10,623.9,624,623.5,623.5,436,0
11,623,623.9,622.25,623.9,5888,0
12,622.6,623,622.25,623,310,0
13,622.25,622.5,622.25,622.5,502,0
14,622.75,622.75,622.25,622.25,622,0
15,623.1,623.25,622.3,622.8,417,0
16,622.5,623.25,622.5,623.2,2252,0
17,622.5,623,622.5,622.5,335,0
18,622.3,622.85,622.3,622.85,1055,0
19,621.5,622.3,621.5,622.3,2463,0
20,621.35,621.85,621.25,621.5,1707,0
21,621.65,621.9,621.15,621.4,2509,0
22,622,622.05,621.5,622.05,837,0
23,621.6,622.2,621.6,622,1939,0
24,622,622,621.6,621.6,1457,0
25,622.55,623.05,622,622,982,0
26,622.8,622.8,622.55,622.55,292,0
27,623.65,623.65,622.75,622.75,400,0
28,624,624,623.45,623.5,1397,0
29,625.05,625.05,624,624,1708,0
30,625.55,625.75,625,625,2329,0
31,625.05,625.65,625.05,625.55,1985,0
32,624.55,625.15,624.55,625.05,3376,0
33,624.75,625,624.75,624.9,3545,0
34,625.5,625.5,624.75,625,1434,0
35,625.2,625.4,625,625.4,207,0
36,624.8,625.5,624.8,625.2,501,0
37,624.6,624.8,624.25,624.8,1673,0
38,624.9,624.9,624.6,624.8,122,0
39,624.7,625,624.7,624.95,176,0
40,624.75,624.75,624.65,624.7,60,0
41,624.45,624.7,624.3,624.65,684,0
42,625,625,624.55,625,603,0
43,624.55,625,624.55,625,862,0
44,624.5,625,624.5,624.75,1021,0
45,624.5,625,624.5,624.75,785,0
46,624.45,624.7,624.4,624.4,365,0
47,623.85,624.5,623.7,624.35,2401,0
48,623.9,624.2,623.85,623.85,430,0
49,624.05,624.2,624,624,488,0
50,624.2,624.2,624.1,624.2,353,0
51,624.1,624.4,624.1,624.2,552,0
52,625,625,624.5,624.5,270,0
53,624.9,625,624.55,625,3515,0
54,625,625,624.5,624.6,442,0
55,625.3,625.45,625,625.45,648,0
56,626.25,626.3,625,625,5609,0
57,627.2,627.2,626.2,626.4,3373,0
58,627.3,627.45,626.45,627.2,7649,0
59,628.5,628.5,627.05,627.3,6323,0
60,630,630,628.45,628.5,11772,0
61,630,630.95,629.9,630,14705,0
62,631.5,631.5,630,630.25,10108,0
63,631,631.5,631,631.4,6356,0
64,630,631.35,630,631,6041,0
65,629.6,630.6,629.1,630.6,6201,0
66,629.15,629.85,629,629.15,3249,0
67,629,629.15,628.75,629.15,2321,0
68,629.05,629.3,629,629,2373,0
69,630,630,629.15,629.2,2169,0
70,629.65,630,629.65,630,617,0
71,629.5,629.9,629.5,629.9,1352,0
72,629.55,629.95,629.25,629.25,1516,0
73,630.7,630.75,629.8,629.85,3717,0
74,630.5,630.95,630.5,630.75,1339,0
75,630.45,630.7,630.25,630.5,1386,0
76,631.85,631.85,630.7,630.8,5062,0
77,631.9,631.9,631.6,631.9,3433,0
78,631.5,632,631.5,631.9,2646,0
79,631.7,632.35,631.4,631.45,10511,0
80,632,632.3,632,632.25,2304,0
81,631.6,632.1,631.45,632,3503,0
82,631.5,631.6,631.2,631.5,2726,0
83,631.75,632,631.4,631.4,3070,0
84,631,631.85,631,631.8,6755,0
85,630.5,631.25,630.1,631.25,2207,0
86,629.7,630.8,629.55,630.5,2032,0
87,629.2,629.95,629.05,629.7,5608,0
88,629.45,629.5,628.75,629.2,5756,0
89,629.6,629.9,629.15,629.45,2509,0
90,629.95,630.35,629.5,630,4260,0
91,630,630.2,629.95,629.95,1248,0
92,629.85,630,629.75,630,704,0
93,630.05,630.4,630,630,412,0
94,629.8,630.3,629.8,630,279,0
95,629,629.8,629,629.8,3862,0
96,629.15,629.35,629,629.35,3588,0
97,629.15,629.3,629.05,629.05,165,0
98,629.4,629.5,629,629.45,1621,0
99,628.35,629.35,628.3,629.35,4165,0
100,628,628.35,627.4,628.35,5693,0
101,628.2,628.2,627.75,628,2378,0
102,628.3,628.65,627.75,628.45,1558,0
103,628.15,628.8,628.05,628.3,1406,0
104,628,628.15,628,628.15,464,0
105,628,628.55,628,628.15,4140,0
106,628,628.2,628,628.15,469,0
107,627.75,628.05,627.6,628.05,2566,0
108,628.15,628.15,627.5,627.75,2418,0
109,628.2,628.45,628,628,2261,0
110,628.05,628.2,628.05,628.2,907,0
111,628.2,628.3,628.05,628.05,443,0
112,627.75,628.2,627.75,628.2,1748,0
113,627.75,627.95,627.6,627.6,789,0
114,627.8,627.9,627.5,627.5,510,0
