EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,47.45,47.45,47.45,47.45,38527,0
1,47.45,47.45,47.45,47.45,13589,0
2,47.45,47.45,47.45,47.45,16855,0
3,47.45,47.45,47.45,47.45,14047,0
4,47.45,47.45,47.45,47.45,4222,0
5,47.45,47.45,47.45,47.45,1144,0
6,47.45,47.45,47.45,47.45,1395,0
7,47.45,47.45,47.45,47.45,5555,0
8,47.45,47.45,47.45,47.45,17329,0
9,47.45,47.45,47.45,47.45,6112,0
10,47.45,47.45,47.45,47.45,6378,0
11,47.45,47.45,47.45,47.45,11313,0
12,47.45,47.45,47.45,47.45,726,0
13,47.45,47.45,47.45,47.45,372,0
14,47.45,47.45,47.45,47.45,425,0
15,47.45,47.45,47.45,47.45,1585,0
16,47.45,47.45,47.45,47.45,1155,0
17,47.45,47.45,47.45,47.45,203,0
18,47.45,47.45,47.45,47.45,476,0
19,47.45,47.45,47.45,47.45,1573,0
20,47.45,47.45,47.45,47.45,480,0
21,47.45,47.45,47.45,47.45,700,0
22,47.45,47.45,47.45,47.45,2000,0
23,47.45,47.45,47.45,47.45,1477,0
24,47.45,47.45,47.45,47.45,805,0
25,47.45,47.45,47.45,47.45,482,0
26,47.45,47.45,47.45,47.45,2530,0
27,47.45,47.45,47.45,47.45,102,0
28,47.45,47.45,47.45,47.45,1376,0
29,47.45,47.45,47.45,47.45,1604,0
30,47.45,47.45,47.45,47.45,894,0
31,47.45,47.45,47.45,47.45,1333,0
32,47.45,47.45,47.45,47.45,453,0
33,47.45,47.45,47.45,47.45,377,0
34,47.45,47.45,47.45,47.45,931,0
35,47.45,47.45,47.45,47.45,1584,0
36,47.45,47.45,47.45,47.45,800,0
37,47.45,47.45,47.45,47.45,776,0
38,47.45,47.45,47.45,47.45,1412,0
39,47.45,47.45,47.45,47.45,1000,0
40,47.45,47.45,47.45,47.45,80,0
41,47.45,47.45,47.45,47.45,4,0
42,47.45,47.45,47.45,47.45,140,0
43,47.45,47.45,47.45,47.45,956,0
44,47.45,47.45,47.45,47.45,394,0
45,47.45,47.45,47.45,47.45,2100,0
46,47.45,47.45,47.45,47.45,27762,0
47,47.45,47.45,47.45,47.45,500,0
49,47.45,47.45,47.45,47.45,2465,0
50,47.45,47.45,47.45,47.45,2789,0
51,47.45,47.45,47.45,47.45,11205,0
52,47.45,47.45,47.45,47.45,97,0
53,47.45,47.45,47.45,47.45,2280,0
54,47.45,47.45,47.45,47.45,250,0
55,47.45,47.45,47.45,47.45,1238,0
56,47.45,47.45,47.45,47.45,2260,0
57,47.45,47.45,47.45,47.45,1050,0
58,47.45,47.45,47.45,47.45,198,0
59,47.45,47.45,47.45,47.45,5,0
60,47.45,47.45,47.45,47.45,219329,0
61,47.45,47.45,47.45,47.45,650,0
63,47.45,47.45,47.45,47.45,40586,0
64,47.45,47.45,47.45,47.45,4651,0
65,47.45,47.45,47.45,47.45,1630,0
66,47.45,47.45,47.45,47.45,2820,0
67,47.45,47.45,47.45,47.45,1295,0
68,47.45,47.45,47.45,47.45,6050,0
69,47.45,47.45,47.45,47.45,6061,0
70,47.45,47.45,47.45,47.45,1500,0
71,47.45,47.45,47.45,47.45,791735,0
72,47.45,47.45,47.45,47.45,89611,0
73,47.45,47.45,47.45,47.45,70803,0
74,47.45,47.45,47.45,47.45,24822,0
75,47.45,47.45,47.45,47.45,191681,0
76,47.45,47.45,47.45,47.45,96966,0
77,47.45,47.45,47.45,47.45,50976,0
78,47.45,47.45,47.45,47.45,820,0
79,47.45,47.45,47.45,47.45,6287,0
80,47.45,47.45,47.45,47.45,1992,0
81,47.45,47.45,47.45,47.45,18069,0
82,47.45,47.45,47.45,47.45,2639,0
83,47.45,47.45,47.45,47.45,150,0
84,47.45,47.45,47.45,47.45,1556,0
