EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,693.05,693.05,693,693,168,0
1,691.6,693,691.6,693,38,0
2,693.5,693.5,691.8,691.8,1415,0
3,693.8,693.85,693.6,693.65,2426,0
4,696,696,693,693.85,1411,0
5,695.3,699,695.3,696.45,623,0
6,695,697.4,694.6,697.05,1014,0
7,696.05,700,696.05,697.05,290,0
8,696.8,700.05,696.8,697.25,79,0
9,701.15,701.15,696.2,696.2,422,0
10,700.2,702.4,700.15,701.9,1172,0
11,702,702,699,700.2,724,0
12,699.5,700.15,698.65,700.15,566,0
13,699.5,701.9,698.5,699.5,1572,0
14,698.95,701.9,698.8,699.2,261,0
15,700.4,701.15,698.5,698.95,1403,0
16,699.2,701.2,698.5,701.2,1344,0
17,696.8,699.3,696.05,699.3,265,0
18,697.05,697.05,697.05,697.05,68,0
19,698,699,697.95,697.95,242,0
20,697.55,699.7,697.55,699.7,73,0
21,696.05,697.05,696.05,697.05,68,0
22,696.1,696.25,696.1,696.25,99,0
23,696.1,696.1,696.1,696.1,206,0
24,695.75,696.1,695.35,696.1,124,0
25,697,697.95,695.35,695.35,191,0
26,696.55,696.6,695.35,695.35,299,0
27,698.2,698.2,695.05,697.4,100,0
28,697.95,698,695.5,698,115,0
29,697.5,697.95,695.3,697.95,126,0
30,695,697.45,695,697.45,1219,0
31,695.7,695.75,695,695,87,0
32,697.4,697.4,695,695,204,0
33,695,695,695,695,68,0
34,698.2,698.2,695,695,50873,0
35,698.2,698.2,696,698.2,84,0
36,698.75,698.75,696,698,69,0
37,698.65,698.65,696,696,84,0
38,696,696,696,696,636,0
39,698.5,698.5,696,698,82,0
40,696,696,696,696,79,0
41,696,697.85,696,696,192,0
42,696,697.85,696,697.85,70,0
43,696,696,696,696,68,0
44,696,697.85,696,696,138,0
45,697.85,697.85,696.1,697,101,0
46,696,697,696,696.1,137,0
47,696.05,696.9,696,696,2437,0
48,699,699.4,697.45,697.45,450,0
49,699,699.9,698.95,699,432,0
50,699.8,699.85,698.45,699.85,1158,0
51,699.8,699.8,698.25,698.45,2623,0
52,698.35,698.55,698.1,698.55,421,0
53,698.15,698.3,698.15,698.3,149,0
54,699.5,699.5,698.05,698.1,114,0
55,698.1,698.15,698.05,698.1,714,0
56,696.55,699.55,696.55,698.15,570,0
57,696.35,699.6,696.35,698,358,0
58,698.1,698.95,696.35,696.35,525,0
59,696.35,698.9,696.35,698.1,203,0
60,696.3,696.35,696.3,696.35,168,0
61,696.3,696.3,696.3,696.3,69,0
62,698.5,698.5,696.4,696.4,243,0
63,698.9,698.9,696.8,698.8,620,0
64,698.9,698.9,696.35,697,369,0
65,699.6,699.6,696.35,699,468,0
66,699.7,699.7,699.7,699.7,270,0
67,699.7,699.7,699.7,699.7,99,0
68,699.7,699.7,699.7,699.7,335,0
69,697.8,699.7,697.8,699.7,164,0
70,697.15,697.15,697.15,697.15,68,0
71,700,701.2,696.55,696.55,291,0
72,703.15,704.5,701.4,701.4,239,0
73,706.4,706.45,703.3,704.7,316,0
74,704.5,706.5,704.3,704.3,156,0
75,704.35,704.85,704.25,704.8,409,0
76,704.25,704.35,704.05,704.35,191,0
77,700,703.5,698.85,703.45,101100,0
78,696.85,697,696.85,697,131,0
79,696.75,697.5,696.75,697.5,130,0
80,696,696.75,696,696.75,137,0
81,695.15,696,695.15,696,70,0
82,695.2,695.2,695.2,695.2,69,0
83,695.2,695.2,695.15,695.15,136,0
84,695.2,695.2,695.2,695.2,70,0
