EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317740,1201.45,1201.45,1195,1195,513,0
1,1199.6,1199.6,1199.6,1199.6,2,0
2,1199.85,1199.85,1199.85,1199.85,5,0
3,1198.4,1198.45,1197.55,1197.55,5,0
5,1197.75,1197.75,1197.65,1197.65,10,0
6,1196.15,1197,1196.15,1197,54,0
7,1195,1197,1195,1197,106,0
9,1195,1195,1195,1195,104,0
10,1196,1197,1196,1197,11,0
11,1196,1196,1196,1196,22,0
12,1195.05,1195.05,1195.05,1195.05,5,0
14,1196.8,1196.8,1196.8,1196.8,4,0
17,1196.8,1196.8,1196.8,1196.8,3,0
18,1196.4,1196.4,1196.05,1196.05,7,0
19,1197,1197,1196.55,1196.55,17,0
21,1195.25,1195.25,1195.25,1195.25,1,0
22,1200,1200.15,1197,1197,245,0
23,1201,1201,1201,1201,46,0
24,1201,1201,1201,1201,50,0
25,1201,1201,1201,1201,1,0
26,1202,1202,1202,1202,1,0
28,1209,1209,1208.95,1209,106,0
29,1208,1208.05,1208,1208.05,117,0
30,1210,1210.05,1210,1210,199,0
31,1207.05,1209.45,1207.05,1209,48,0
32,1209,1209,1207,1208.9,52,0
33,1210,1210,1209.05,1209.05,4,0
34,1209,1209,1209,1209,20,0
37,1209.25,1209.25,1209.25,1209.25,1,0
38,1209,1209,1209,1209,84,0
42,1210.05,1210.05,1210.05,1210.05,16,0
43,1217.75,1217.75,1211.05,1211.05,643,0
45,1215.55,1215.55,1215.55,1215.55,8,0
47,1215.5,1215.5,1215.5,1215.5,10,0
49,1215.55,1215.55,1215.55,1215.55,1,0
54,1214.55,1214.55,1214.55,1214.55,2,0
55,1213,1213,1213,1213,15,0
56,1212.75,1212.75,1212.75,1212.75,5,0
57,1210.3,1212.75,1210.3,1212.75,10,0
59,1211.85,1211.85,1211.8,1211.8,40,0
60,1212,1212,1211.9,1211.9,6,0
62,1213.05,1213.05,1213.05,1213.05,2,0
63,1212.85,1212.9,1211.05,1211.05,15,0
66,1211.25,1211.25,1211.25,1211.25,5,0
69,1211.5,1211.5,1211.5,1211.5,1,0
71,1211.25,1211.25,1211.25,1211.25,25,0
72,1211.5,1211.5,1211.5,1211.5,4,0
77,1211.75,1211.75,1211.75,1211.75,1,0
79,1211.55,1211.55,1211.55,1211.55,1,0
