EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1570,1574.75,1566.4,1574.75,3714,0
1,1565,1569.95,1563.15,1569.95,4001,0
2,1572.35,1574.8,1565,1565.4,2920,0
3,1578.7,1579,1572.3,1572.3,2477,0
4,1573,1579,1573,1579,2040,0
5,1571,1573,1564,1571.45,3477,0
6,1568.65,1573,1568.65,1571,2018,0
7,1565,1568,1561,1568,910,0
8,1563.05,1565,1563,1565,693,0
9,1562.25,1564,1562.15,1563.9,680,0
10,1564.95,1565,1561.55,1563.3,340,0
11,1565,1565.1,1562,1562,764,0
12,1565,1565,1562.1,1565,173,0
13,1562.1,1564.95,1562.1,1564.95,111,0
14,1563,1563,1562.1,1562.1,200,0
15,1563,1563,1562.1,1562.15,251,0
16,1560,1563.15,1557,1561.65,1709,0
17,1560.35,1561.6,1558.65,1561.6,129,0
18,1561.05,1561.95,1561,1561,425,0
19,1559.95,1562.1,1559.95,1561.05,604,0
20,1564,1564,1559.95,1559.95,866,0
21,1564.85,1564.85,1564,1564,203,0
22,1564.6,1564.6,1564,1564.4,150,0
23,1566.6,1566.6,1564.3,1564.3,1312,0
24,1565,1568,1565,1567.5,895,0
25,1567.5,1567.55,1564.6,1564.6,72,0
26,1564.25,1567.8,1564.25,1567.5,117,0
27,1564.95,1566,1564.15,1564.15,319,0
28,1568.55,1568.55,1563.05,1564.9,1063,0
29,1566.1,1569.9,1566,1568.05,652,0
30,1567.3,1569.9,1567,1569.5,89,0
31,1568,1568.95,1566.05,1566.05,137,0
32,1569.7,1569.7,1566.45,1566.45,177,0
33,1569,1569.7,1569,1569.05,179,0
34,1569,1569,1566.1,1569,239,0
35,1569,1569,1568.95,1569,177,0
36,1569.7,1569.7,1569,1569,193,0
37,1568.1,1570.1,1563.05,1569.7,4745,0
38,1569.9,1569.9,1568.1,1568.1,606,0
39,1571.85,1571.85,1569.1,1569.9,390,0
40,1571.85,1571.9,1570.6,1571.9,47,0
41,1571.9,1571.9,1571.35,1571.85,28,0
42,1573,1573,1571.65,1571.65,273,0
43,1572.6,1573,1572.5,1573,56,0
44,1573,1573,1572.65,1572.65,90,0
45,1573,1573,1572.8,1572.8,207,0
46,1571.45,1571.45,1571.45,1571.45,10,0
47,1574.5,1574.5,1573,1573,283,0
48,1570,1575,1570,1575,322,0
49,1571.85,1571.85,1571.25,1571.45,110,0
50,1574.45,1574.45,1571.85,1571.85,39,0
51,1571,1572,1571,1572,92,0
52,1578.25,1578.25,1576.8,1578.25,1792,0
53,1578,1578.25,1577,1577.5,176,0
54,1577.05,1577.25,1576.85,1576.85,142,0
55,1572.9,1579,1572.9,1577.1,1729,0
56,1578,1578,1575.9,1575.95,209,0
57,1575.95,1578,1575.95,1578,65,0
58,1578,1578,1576,1578,51,0
59,1579,1579,1578.05,1578.4,1550,0
60,1576.25,1578.05,1574,1578.05,101,0
61,1575,1575,1573.65,1573.65,54,0
62,1573.75,1575,1570,1573.8,411,0
63,1573.2,1574,1573.2,1574,234,0
64,1574.1,1576.1,1573.25,1573.25,320,0
65,1573.7,1574.05,1573.7,1574.05,158,0
66,1572.5,1576,1572.5,1573.15,159,0
67,1572.85,1572.85,1572.85,1572.85,24,0
68,1574,1574,1571.55,1571.55,29,0
69,1571.95,1574,1571.9,1573.95,74,0
70,1573.95,1573.95,1573.95,1573.95,15,0
71,1574,1574,1573.95,1573.95,34,0
72,1574,1574,1572,1572,24,0
73,1572.2,1572.2,1572.1,1572.1,28,0
74,1574,1574,1573,1573,44,0
75,1574,1574,1573,1573.1,60,0
76,1572,1573,1572,1573,89,0
77,1572,1572,1572,1572,45,0
78,1573,1574,1573,1574,104,0
79,1573,1573,1571.45,1571.45,89,0
80,1574,1574,1572.55,1574,128,0
81,1572.55,1572.55,1572.55,1572.55,25,0
82,1574,1574,1572.65,1574,25,0
83,1574,1574,1572.65,1573.95,29,0
84,1574,1574,1574,1574,24,0
