EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533095160,369.9,369.9,369.4,369.65,55180,0
1,370.1,370.7,369.85,369.9,45315,0
2,370.3,370.7,369.85,370.15,39522,0
3,370.55,370.95,370.15,370.3,27311,0
4,371.3,371.3,370.45,370.7,38756,0
5,371.15,371.55,371.05,371.3,37401,0
6,370.75,371.05,370.5,371,21988,0
7,370.05,370.95,370.05,370.85,33515,0
8,370.85,371,370,370.3,18162,0
9,370.75,370.95,370.2,370.9,23823,0
10,370.15,370.8,370.15,370.45,13895,0
11,370.2,370.5,369.9,370.15,24616,0
12,370.4,370.5,370,370.25,10882,0
13,369.5,370.45,369.35,370.4,16840,0
14,369.35,369.5,368.65,369.5,31992,0
15,368.7,369.35,368.6,369.3,23735,0
16,369.4,369.4,368.65,368.75,21467,0
17,369.3,369.4,369.05,369.35,10038,0
18,369.05,369.25,368.75,369.25,14671,0
19,368.95,369.25,368.65,369.05,19624,0
20,369.3,369.3,368.75,368.75,15469,0
21,369.25,369.4,369.1,369.25,8553,0
22,369,369.7,369,369.3,16974,0
23,368.7,369.1,368.5,369,11056,0
24,368.3,368.7,368,368.65,108908,0
25,368.4,368.5,368.15,368.4,20940,0
26,368.9,369,368.3,368.4,14261,0
27,368.8,368.95,368.6,368.75,11958,0
28,369.05,369.3,368.9,368.95,11168,0
29,369.15,369.2,368.65,369.1,13085,0
30,369.5,369.6,369,369.15,15675,0
31,369.1,369.65,369,369.55,11205,0
32,369.05,369.3,369,369.1,6595,0
33,368.7,369.15,368.65,369,14439,0
34,368.5,368.85,368.3,368.8,22103,0
35,368.65,368.75,368.25,368.5,6724,0
36,369,369,368.5,368.6,4117,0
37,369.25,369.3,368.9,368.9,10477,0
38,369.05,369.3,369,369.25,6337,0
39,368.8,369.1,368.75,369,12539,0
40,369.2,369.2,368.75,368.8,6541,0
41,368.9,369.4,368.9,369.15,5747,0
42,368.95,369,368.85,368.9,5476,0
43,368.8,368.95,368.6,368.95,5454,0
44,369.1,369.2,368.75,368.8,29320,0
45,369.15,369.2,369,369.15,10275,0
46,369.25,369.45,369.2,369.3,11418,0
47,369.1,369.3,369,369.3,5666,0
48,369.2,369.4,369,369.1,7500,0
49,369.3,369.3,369.05,369.05,5960,0
50,369.45,369.45,369.25,369.3,5608,0
51,369.45,369.7,369.1,369.35,74261,0
52,369.45,369.85,369.15,369.6,12985,0
53,369.1,369.45,369.1,369.45,4855,0
54,369.25,369.25,369,369.1,12521,0
55,368.65,369.25,368.65,369.2,20517,0
56,369.1,369.3,368.6,368.65,31478,0
57,368.95,369.2,368.55,369.1,25271,0
58,368.8,368.95,368.55,368.95,13540,0
59,368.6,368.8,368.5,368.7,9910,0
60,368.6,368.65,368.5,368.6,8094,0
61,369,369,368.5,368.55,10357,0
62,369.1,369.1,368.9,368.9,5023,0
63,368.9,369.1,368.9,369.05,4950,0
64,368.8,369.05,368.75,368.85,7377,0
65,368.85,368.9,368.7,368.85,3736,0
66,368.55,368.85,368.55,368.7,3032,0
67,368.6,369,368.5,368.6,6773,0
68,368.75,368.9,368.55,368.6,7834,0
69,368.95,369,368.75,368.9,7484,0
70,368.9,369,368.75,368.95,6821,0
71,368.75,368.9,368.5,368.9,4393,0
72,368.8,368.9,368.65,368.8,5877,0
73,368.15,368.85,368.1,368.85,24172,0
74,368.4,368.4,368,368.1,23743,0
75,368.7,368.7,368.3,368.3,12889,0
76,368.75,368.9,368.65,368.7,11588,0
77,368.8,368.8,368.6,368.7,3301,0
78,368.85,368.9,368.65,368.75,6342,0
79,368.85,368.9,368.75,368.85,2406,0
80,368.55,368.85,368.5,368.85,8938,0
81,368.35,368.55,368.1,368.45,9826,0
82,368.55,368.6,368.35,368.5,12205,0
83,368.55,368.65,368.5,368.55,5649,0
84,368.5,368.6,368.4,368.6,18123,0
85,368.35,368.5,368.25,368.5,4749,0
86,368.05,368.35,368,368.35,13457,0
87,367.8,368.05,367.65,368,51320,0
88,367.75,367.95,367.7,367.7,6397,0
89,367.45,367.75,367.3,367.75,25204,0
90,367.65,367.8,367.35,367.45,22839,0
91,367.65,367.7,367.5,367.6,11962,0
92,367.65,367.7,367.5,367.65,5872,0
93,367.85,367.95,367.55,367.55,23459,0
94,367.85,368.35,367.8,367.85,17444,0
95,367.95,368,367.8,367.9,10541,0
96,368,368,367.8,368,9647,0
97,367.8,368,367.7,368,8121,0
98,367.95,368,367.7,367.8,5281,0
99,367.4,368,367.4,367.85,12590,0
100,367.5,367.65,367.3,367.5,15421,0
101,367.7,367.85,367.3,367.5,12938,0
102,367.65,367.9,367.65,367.8,6991,0
103,367.1,367.8,367.05,367.8,15684,0
104,367.2,367.4,367.05,367.35,8409,0
105,367.25,367.25,367,367.2,25940,0
106,367.4,367.4,367,367.15,37341,0
107,367.55,367.55,367.15,367.3,10248,0
