EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,524,524.5,523.1,524.05,4042,0
1,522.9,523.65,522.75,523.65,2646,0
2,522.3,522.9,522.3,522.85,1578,0
3,523.7,524,522.1,522.2,6257,0
4,523,523.55,522.5,523.25,1639,0
5,522.65,523,522.25,523,3047,0
6,522.8,522.8,522.4,522.65,2424,0
7,524.05,524.3,522.85,522.85,2897,0
8,525.25,525.5,524,524.05,5365,0
9,524.95,525.4,524.65,525.25,1406,0
10,525.75,526.55,524.95,525,17149,0
11,525.7,526,525.25,525.55,11063,0
12,525.5,525.75,525,525.75,12633,0
13,525.1,525.55,525.1,525.25,3365,0
14,525.5,525.5,525.25,525.25,796,0
15,525.25,525.5,525.25,525.45,2173,0
16,524.8,525,524.8,525,906,0
17,524.75,524.9,524.75,524.8,926,0
18,524.8,524.85,524.75,524.75,612,0
19,525.15,525.15,524.8,524.9,2957,0
20,525.65,525.9,525.15,525.15,850,0
21,525.95,526.2,525.7,525.7,1170,0
22,525.95,526.2,525.9,525.95,3708,0
23,525.55,525.95,525.2,525.95,3184,0
24,525.25,525.4,525.2,525.3,2280,0
25,525.45,525.6,525.2,525.2,530,0
26,525.6,525.95,525.55,525.7,472,0
27,525.1,525.9,525.05,525.6,3700,0
28,525.2,525.2,525.15,525.15,282,0
29,525,525.2,525,525.2,1360,0
30,525.5,525.95,525,525,2693,0
31,525.1,525.65,525.1,525.5,3164,0
32,524.9,525.2,524.9,525.1,561,0
33,524.65,525.4,524.65,525,886,0
34,524.5,524.7,524.15,524.6,1383,0
35,524.3,524.6,524.15,524.35,2701,0
36,524.3,524.45,524.3,524.3,650,0
37,524.7,525.15,524.35,524.4,812,0
38,525.3,525.75,524.75,524.75,1150,0
39,525.9,525.95,525.3,525.3,2856,0
40,525.95,525.95,525.8,525.95,343,0
41,526.2,526.45,525.8,525.8,6754,0
42,526.9,527,526.3,526.3,11529,0
43,526.85,526.9,526.8,526.8,1970,0
44,526.35,526.8,526.25,526.8,5504,0
45,526.6,526.75,526.4,526.45,854,0
46,528.2,528.25,526.6,526.6,10355,0
47,527.8,528.3,527.7,528.1,12967,0
48,528,528,527.8,527.85,4248,0
49,527.55,528.05,527.5,527.9,7516,0
50,527.2,527.55,527.2,527.55,3689,0
51,526.95,527.4,526.95,527.15,3769,0
52,527.05,527.5,527,527,2938,0
53,527.25,527.25,527.05,527.2,1386,0
54,527.7,527.7,527.15,527.15,2142,0
55,528.15,528.15,527.65,527.7,3460,0
56,528.35,528.5,528.15,528.25,4791,0
57,528.65,528.65,528.35,528.35,5891,0
58,528.9,529,528.6,528.6,8187,0
59,527.55,528.9,527.5,528.9,8838,0
60,528,528.25,527.5,527.5,2963,0
61,527.8,528.05,527.5,527.9,5622,0
62,528.85,528.85,527.8,528,7042,0
63,529.45,529.6,528.8,528.8,11262,0
64,528.9,529.45,528.8,529.15,10748,0
65,528.25,528.95,527.7,528.95,4085,0
66,527.7,528.55,527.5,528.1,5090,0
67,527.95,528,527.1,527.45,2691,0
68,527.25,527.95,527,527.95,10603,0
69,526.4,527.25,526.4,527.25,6202,0
70,526.5,526.5,526.4,526.45,3183,0
71,525.35,526.5,525.3,526.45,11996,0
72,525.9,526,524.8,525.3,14804,0
73,526.55,526.65,525.95,526,3581,0
74,528.2,528.5,526.5,526.5,20978,0
75,529,529.1,527.9,528.15,15927,0
76,528.7,529.1,528.7,529,10652,0
77,528.05,529,528,529,6320,0
78,528.3,528.45,528.15,528.2,492,0
79,528.3,528.5,528.25,528.4,1203,0
80,528.45,528.5,527.85,528.3,4097,0
81,527.5,528.4,527.5,528.2,1770,0
82,527.5,527.7,527.2,527.7,3115,0
83,527.75,528,527.3,527.3,1144,0
84,528.15,528.5,527.5,527.55,2823,0
85,528.3,528.6,528.25,528.45,4519,0
86,528.3,528.5,528.3,528.35,3630,0
87,527.75,528.5,527.75,528.5,1242,0
88,528.2,528.2,527.85,528,2379,0
89,528.3,528.45,528.2,528.2,1420,0
90,528.2,528.3,527.7,528.3,1493,0
91,528.05,528.05,527.9,527.9,1344,0
92,527.8,527.9,527.8,527.9,519,0
93,527.7,527.9,527.5,527.9,1206,0
94,527,527.5,526.85,527.5,2028,0
95,527.5,527.5,527,527,390,0
96,527.5,528,527.15,527.15,837,0
97,527.8,527.8,527.5,527.5,433,0
98,527.8,527.95,527.8,527.95,704,0
99,527.8,528,527.8,527.8,642,0
100,528,528.4,527.8,527.8,4409,0
101,528.2,528.4,528,528,1214,0
102,528.7,528.8,528.35,528.35,6162,0
103,528.3,528.95,528.25,528.7,2712,0
104,528.1,528.3,528,528.3,1633,0
105,528,528.3,527.95,528.15,1825,0
106,527.85,528.1,527.7,528,2173,0
107,527.6,527.85,527.6,527.85,1592,0
108,527.4,527.65,527.3,527.6,3513,0
